Drug_ID,smiles,value,source,dataset,smiles,value,smiles.3,value.3,smiles.2,value.2,smiles.1,value.1,assay_type,smiles.4,molecule_chembl_id,standard_type,standard_units,value.4,type,units,query_label,query_standard_type,units_hint,smiles,value
EF5242,CCCCCCC(C)OC(=O)COc1ccc(C(=O)CN2CCN(C3CCNCC3)CC2=O)cc1,-4.7399998,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
EF5248,CCCCOC(=O)COc1ccc(C(=O)CN2CCN(C3CCN(C(=O)OCc4oc(=O)oc4C)CC3)CC2=O)cc1,-4.3499999,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
EF5249,Cc1oc(=O)oc1COC(=O)N1CCC(N2CCN(CC(=O)c3ccc(OCC(=O)OC4CCCCC4)cc3)C(=O)C2)CC1,-4.3099999,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
EF5251,CCOC(=O)COc1ccc(C(=O)CN2CCN(C3CCN(C(=O)OC(C)OC(C)=O)CC3)CC2=O)cc1,-4.2800002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
EF5261,O=C(COc1ccc(C(=O)CN2CCN(C3CCN(C(=O)OC/C=C4/OC(=O)c5ccccc54)CC3)CC2=O)cc1)OC1CCCCC1,-4.4000001,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
EF5264,CC(=O)OC(C)OC(=O)N1CCC(N2CCN(CC(=O)c3ccc(OCC(=O)OC4CCOCC4)cc3)C(=O)C2)CC1,-4.5100002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
EF5265,CCOCC(COCC)OC(=O)COc1ccc(C(=O)CN2CCN(C3CCN(C(=O)OC(C)OC(C)=O)CC3)CC2=O)cc1,-4.1500001000000015,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
EF5270,CCOC(=O)COc1ccc(C(=O)CN2CCN(C3CCN(C(=O)OC(OC(C)=O)C(C)(C)C)CC3)CC2=O)cc1,-4.02,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
EF5278,CCOC(=O)COc1ccc(C(=O)CN2CCN(C3CCN(C(=O)OC(OC(=O)C(C)(C)C)C(C)(C)C)CC3)CC2=O)cc1,-4.0,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
EF5283,CCOC(=O)COc1ccc(C(=O)CN2CCN(C3CCN(C(=O)OC(C)OC(=O)C(C)(C)C)CC3)CC2=O)cc1,-4.139999899999999,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
EF5292,CC(C)(C)C(=O)OCOC(=O)N1CCC(N2CCN(CC(=O)c3ccc(OCC(=O)OC4CCCCC4)cc3)C(=O)C2)CC1,-4.4400001,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
elarofiban,O=C(O)C[C@H](NC(=O)[C@@H]1CCCN(C(=O)CCC2CCNCC2)C1)c1cccnc1,-6.21,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
5-chlorosalicylic acid,O=C(O)c1cc(Cl)ccc1O,-4.98,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
epinephrine,CNC[C@H](O)c1ccc(O)c(O)c1,-6.125,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
eriodictyol ,O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,-5.2800002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
erythromycin,CC[C@@H]1OC(=O)[C@@H](C)[C@H](O[C@H]2C[C@](C)(OC)[C@@H](O)[C@H](C)O2)[C@@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H](N(C)C)[C@H]2O)[C@@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@@]1(C)O,-5.7800002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
famotidine,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,-6.0700002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
fexofenadine,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,-6.5100002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
fexofenadine hydrochloride,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1.Cl,-5.6999998,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
fluparoxan,Fc1cccc2c1O[C@H]1CNC[C@@H]1O2,-4.099999899999999,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
AACV,C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@@H](C)N,-5.6900001,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
glycerol,OCC(O)CO,-4.829999900000002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
glycine-valine acyclovir,CC(=O)C(NC(=O)CN)c1ccc(O)cc1,-5.2800002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
guanabenz,NC(N)=N/N=C/c1c(Cl)cccc1Cl,-4.6799998,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hesperetin ,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,-4.7399998,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 01,C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.8200002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 03,C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC1=O,-5.8200002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 05,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)NC1=O,-5.8200002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 06,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC1=O,-5.8200002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 07,C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.8200002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 08,C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.8200002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 09,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.3000002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
aceclofenac,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-4.4099998,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 12,C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)NC1=O,-5.8200002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 13,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)NC1=O,-5.8200002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 14,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C1=O,-5.8200002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 18,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC1=O,-5.3000002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 20,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.8200002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
acetaminophen,CC(=O)Nc1ccc(O)cc1,-4.4400001,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 22,C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.8200002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 23,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.8200002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 24,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C1=O,-5.8200002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 25,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC1=O,-5.8200002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 26,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.3000002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 27,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC1=O,-5.3000002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 28,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.0,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 29,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.8200002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 32,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C1=O,-5.8200002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 33,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC1=O,-5.8200002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 34,C[C@H]1C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N1C,-5.8200002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 37,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C1=O,-5.8200002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 38,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C1=O,-5.8200002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 41,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.2600002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 42,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C1=O,-5.8200002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 47,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C1=O,-5.3000002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 48,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C1=O,-5.3000002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 52,C[C@H]1C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N1C,-4.6999998,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 53,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C1=O,-5.3000002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 54,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C1=O,-5.0,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 55,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C1=O,-5.3000002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 56,C[C@H]1C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N1C,-5.0999999,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 57,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C1=O,-5.1500001,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 58,C[C@H]1C(=O)N(C)[C@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N1C,-5.3000002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 59,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C1=O,-5.3000002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hexapeptide 60,C[C@H]1C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N1C,-5.3000002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hydralazine,NNc1nncc2ccccc12,-5.170000099999998,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
hydrocortisone,C[C@]12C[C@@H](O)[C@@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@H]1CC[C@@]2(O)C(=O)CO,-4.6599998,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
IACV,C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@H](N)[C@H](C)CC,-5.6799998,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
alminoprofen,C=C(C)CNc1ccc(C(C)C(=O)O)cc1,-4.3400002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21,-4.8509998,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,-4.6900001,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
isoquercitrin ,O=c1c(OC2C(O)OC(CO)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,-6.170000099999998,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
ketoconazole,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,-4.9299998,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
lamotrigine,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,-4.3899999,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
lansoprazole,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,-4.1100001000000015,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
Liquiritin apioside ,O=c1cc(-c2ccc(O)cc2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3OC[C@](O)(CO)[C@H]3O)cc(O)c12,-7.119999900000002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
lisinopril,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,-7.389999900000001,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
loracarbef,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1.O,-7.3400002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
amfenac sodium,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccccc1.O.[Na+],-4.52,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
LY366659,CC(C)S(=O)(=O)n1c(N)nc2ccc(/C(=C/C(N)=O)c3c(F)c(F)cc(F)c3F)cc21,-4.1999998,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
LY366799,CC(C)S(=O)(=O)n1c(N)nc2ccc(/C(=C/C(N)=O)c3ccccc3F)cc21,-4.54,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
LY366853,C.CC(C)n1c(N)nc2ccc(/C(=C/C(N)=O)c3cccc(F)c3F)cc21,-5.3000002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
LY366856,CC(C)S(=O)(=O)n1c(N)nc2ccc(/C(=C/C(N)=O)c3ccc(F)c(F)c3F)cc21,-4.329999900000002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
meloxicam,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,-4.71,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
methylscopolamine,C[N+]1(C)[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1C1OC12.[Br-],-6.1599998,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
metolazone,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,-5.21,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,-6.1524997,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
nadalol,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,-5.4109998,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
naproxen,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,-4.6599998,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
naproxen sodium,COc1ccc2cc(C(C)C(=O)[O-])ccc2c1.[Na+],-4.329999900000002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
naringenin,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,-4.6550002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
N-carbobenzoxy-tryptophan,O=C(NC(Cc1c[nH]c2ccccc12)C(=O)O)OCc1ccccc1,-5.8000002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
N-desmethylclozapine,Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2,-4.6799998,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
neolignan smi02,C/C=C/c1cc(OC)c2c(c1)C(C)C(c1cc(OC)c(O)c(OC)c1)O2,-5.3400002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
neolignan smi05,C=CCc1cc(OC)c(OC(C)Cc2cc(OC)c(OC)c(OC)c2)c(OC)c1,-4.73,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
ampicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,-5.6999998,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
neolignan smi08,C=CCc1cc(OC)c(OC(C)C(O)c2cc(OC)c(OC)c(OC)c2)c(OC)c1,-4.5500002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
neolignan smi09,C=CCc1cc(OC)c(OC(C)C(O)c2ccc(O)c(OC)c2)c(OC)c1,-4.5100002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
oxacillin,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,-5.579999900000002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
oxprenolol ester,C=CCOc1ccccc1OC[C@@H](CNC(C)C)OC(=O)C1CC1,-4.545000099999998,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
PNU200001,N=C(N)c1ccc2[nH]c(Cc3nc4ccccc4[nH]3)nc2c1,-6.6999998,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
PNU200647,N/C(=N/O)c1ccc2[nH]c(-c3ccccn3)nc2c1,-4.6500001,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
PNU200648,Cc1ccnc2nc(Cc3nc4cc(C(=N)N)ccc4[nH]3)[nH]c12,-7.0500002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
PNU200969,CCOC(=O)NC(=N)c1ccc2[nH]c(Cc3nc4ccccc4[nH]3)nc2c1,-6.1500001,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
pravastatin,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,-5.8400002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
prazosin,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,-4.987,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
prednisolone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,-4.7199998,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
preladenant,COCCOc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,-5.3499999,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
propranolol ester,CC(C)NC[C@H](COc1cccc2ccccc12)OC(=O)C1CC1,-4.5100002,caco2_wang,TDC,,,,,,,,,,,,,,,,,,,,,
