smiles_r,inchikey,VDss,fup,LogP_pred,LogD_pred,MW,TPSA_NO,HBA,HBD,RotBondCount,LogD_exp,CL_exp,LogD
C=C1C=CC=C(C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@H](C)[C@@H](OC)/C=C/O[C@@]2(C)Oc3c(C)c([O-])c4c(O)c(c5c(c4c3C2=O)NC2(CC[NH+](CC(C)C)CC2)[NH2+]5)NC1=O,PMVNEVBSMJFJIF-CQAXBVIASA-O,9.3,0.29,6.3,3.7,847.0,205.5,15.0,5.0,5.0,,,3.7
C=C1CC[C@@]2(O)[C@H]3Cc4ccc([O-])c5c4[C@@]2(CC[NH+]3CC2CC2)[C@H]1O5,WJBLNOPPDWQMCH-MBPVOVBZSA-N,8.2,0.65,2.5,2.0,339.43,52.9,4.0,2.0,2.0,,,2.0
C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)O[C@@H]3[C@@H](OC)[C@@H](C[C@H](O)C[NH3+])O[C@H]3C[C@H]3O[C@@H](CC[C@@H]1O2)C[C@@H](C)C3=C,VEPHOPLDBFLPDL-KVWSPMLQSA-O,1.46,0.43,2.1,0.36,731.87,155.6,13.0,2.0,4.0,,,0.36
C=CC(=O)[NH+]1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,XYFPWWZEPKGCCK-UHFFFAOYSA-O,9.75,0.03,4.0,4.0,440.5,99.2,8.0,1.0,5.0,,,4.0
C=CC1=C(C(=O)[O-])[NH+]2C(=O)C(=NC(=O)C(NOCC(=O)[O-])c3csc(N)n3)[C@H]2SC1,FACRSCOHUPSUMI-IWSPRGBSSA-M,0.24,0.31,-0.38,-6.7,453.45,184.5,12.0,4.0,8.0,,,-6.7
C=CCC1(C(C)C#CCC)C(=O)[N-]C(=O)N(C)C1=O,NZXKDOXHBHYTKP-UHFFFAOYSA-M,1.1,0.27,1.8,1.7,262.3,66.5,5.0,1.0,5.0,,,1.7
C=CCC1=CC(C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)[NH+]3CCCCC3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,SLUYGGAVUSVJOT-VZCWQGFJSA-O,1.2,0.01,4.0,4.0,804.02,178.4,13.0,3.0,7.0,,,4.0
C=CCN(C1=[NH+]CCN1)c1c(Cl)cccc1Cl,OXTYVEUAQHPPMV-UHFFFAOYSA-O,2.72,0.4,3.0,1.7,270.16,27.6,3.0,1.0,4.0,,,1.7
C=CCNc1nc(NCC=C)nc(N2CC[NH+](C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,OBDOVFRMEYHSQB-UHFFFAOYSA-O,35.37,0.01,6.0,6.0,477.55,69.2,7.0,2.0,10.0,,,6.0
C=CCOc1ccccc1OC[C@H](O)C[NH2+]C(C)C,CEMAWMOMDPGJMB-CYBMUJFWSA-O,0.72,0.19,2.0,0.24,265.35,50.7,4.0,2.0,9.0,,,0.24
C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H]([NH+]6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1,YXRDKMPIGHSVRX-OOJCLDBCSA-O,0.21,0.54,0.19,-0.28,529.77,59.0,6.0,1.0,6.0,,,-0.28
C=CC[NH+]1CC[C@]23c4c5ccc([O-])c4OC2C(=O)CC[C@@]3(O)[C@H]1C5,UZHSEJADLWPNLE-OGLQFSJHSA-N,1.7,0.54,1.1,0.89,327.37,70.0,5.0,2.0,2.0,,,0.89
C=CCc1ccccc1OCC(O)C[NH2+]C(C)C,PAZJSJFMUHDSTF-UHFFFAOYSA-O,3.2,0.18,2.4,0.64,249.35,41.5,3.0,2.0,8.0,,,0.64
C=C[C@@H]1C[C@]1(NC(=O)C1C[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)C[NH+]1C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)[N-]S(=O)(=O)C1CC1,CLAXZTYTLSTEOX-NFMAVPBESA-N,2.77,0.012,5.5,2.4,748.29,182.3,14.0,3.0,12.0,,,2.4
C=C[C@H]1C[NH+]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,LOUPRKONTZGTKE-LHHVKLHASA-O,2.9,0.26,2.9,2.1,324.42,45.6,4.0,1.0,4.0,,,2.1
C=C[C@H]1C[NH+]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,LOUPRKONTZGTKE-WZBLMQSHSA-O,1.8,0.3,2.9,2.1,324.42,45.6,4.0,1.0,4.0,,,2.1
C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2CC[C@@H]([NH3+])C[C@H]2O)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,KPVIXBKIJXZQJX-FCEONZPQSA-O,1.32,0.17,3.4,0.75,507.73,109.8,6.0,3.0,6.0,,,0.75
C=c1cc(C)[nH]c1=Cc1c(O)[nH]c2ccccc12,JGIFSQPBZMIFQM-UHFFFAOYSA-N,0.98,0.008,2.2,2.2,238.28,44.9,3.0,2.0,1.0,,,2.2
CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)[O-])C[C@H]2C[C@H]1O,HIFJCPQKFCZDDL-ACWOEMLNSA-M,0.37,0.4,3.5,0.96,360.49,77.8,4.0,3.0,9.0,,,0.96
CC#C[C@]1(O)CC[C@H]2C3=C(C4=C(CC3)CC(=O)CC4)C(c3ccc(N(C)C)cc3)C[C@@]21C,BHZCGCMWEVHUBA-ZLMDOPAYSA-N,0.45,0.02,4.8,4.8,429.59,40.5,3.0,1.0,3.0,,,4.8
CC(=O)C(C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,NABQBYDEMLGCEO-UHFFFAOYSA-N,0.16,0.01,3.9,2.4,270.21,73.1,4.0,2.0,3.0,,,2.4
CC(=O)C1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,AURFZBICLPNKBZ-UZRAMFKYSA-N,2.0,0.01,4.0,4.0,318.49,37.3,2.0,1.0,1.0,,,4.0
CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O,PJVWKTKQMONHTI-UHFFFAOYSA-M,0.13,0.015,2.6,0.2,308.33,63.6,4.0,1.0,4.0,,,0.2
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,BYPFEZZEUUWMEJ-UHFFFAOYSA-N,1.8,0.51,0.65,0.65,278.31,75.5,7.0,0.0,5.0,0.22,,0.22
CC(=O)C[C@H](c1ccc([N+](=O)[O-])cc1)c1c([O-])c2ccccc2oc1=O,VABCILAOYCMVPS-OAHLLOKOSA-M,0.24,0.02,2.5,0.12,353.33,106.7,7.0,1.0,6.0,,,0.12
CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,NTHXOOBQLCIOLC-UHFFFAOYSA-N,0.16,1.0,-2.8,-2.8,821.14,199.9,12.0,8.0,12.0,,,-2.8
CC(=O)NC(CS)C(=O)[O-],PWKSKIMOESPYIA-UHFFFAOYSA-M,0.55,0.17,-0.53,-3.8,163.19,66.4,4.0,2.0,3.0,,,-3.8
CC(=O)NCCCS(=O)(=O)[O-],AFCGFAGUEYAMAO-UHFFFAOYSA-M,0.3,1.0,-1.7,-5.2,181.21,83.5,5.0,2.0,4.0,,,-5.2
CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,TYZROVQLWOKYKF-ZDUSSCGKSA-N,0.58,0.69,1.1,1.1,337.35,71.1,7.0,1.0,4.0,0.67,,0.67
CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)[O-])=C[C@@H]1NC(N)=[NH2+],ARAIBEBZBOPLMB-UFGQHTETSA-N,0.23,0.86,-3.8,-6.1,332.31,198.2,11.0,8.0,7.0,,,-6.1
CC(=O)Nc1c(I)c(C(=O)[O-])c(I)c(N(C)C(C)=O)c1I,GGGDNPWHMNJRFN-UHFFFAOYSA-M,0.17,1.0,1.4,-1.9,627.94,86.7,6.0,2.0,3.0,,,-1.9
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I,YVPYQUNUQOZFHG-UHFFFAOYSA-M,0.26,1.0,0.98,-2.3,613.91,95.5,6.0,3.0,3.0,,,-2.3
CC(=O)Nc1ccc(C2=N[N-]C(=O)CC2C)cc1,FVGOLFVMXQCVIE-UHFFFAOYSA-M,2.38,0.4,0.71,0.71,245.28,70.6,5.0,2.0,2.0,,,0.71
CC(=O)Nc1ccc([O-])cc1,RZVAJINKPMORJF-UHFFFAOYSA-M,1.0,0.52,0.76,0.76,151.16,49.3,3.0,2.0,1.0,,,0.76
CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,LIRYPHYGHXZJBZ-UHFFFAOYSA-N,13.94,0.03,4.6,4.6,615.39,102.1,9.0,2.0,5.0,,,4.6
CC(=O)Nc1nnc(S(N)(=O)=O)s1,BZKPWHYZMXOIDC-UHFFFAOYSA-N,0.37,0.04,-1.5,-1.6,222.25,115.0,7.0,2.0,2.0,-0.78,,-0.78
CC(=O)OC1=C2C(C)[C@@H](OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C[C@@](O)([C@@H](OC(=O)c3ccccc3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)C2(C)C,NDUAXKHGCJIYEQ-VSXYFVTFSA-N,3.0,0.12,2.9,2.9,853.91,221.3,15.0,4.0,14.0,,,2.9
CC(=O)OCC1=C(C(=O)[O-])[NH+]2C(=O)C(NC(=O)CSc3ccncc3)[C@H]2SC1,UQLLWWBDSUHNEB-FQNRMIAFSA-N,0.13,0.55,-0.63,-3.6,423.46,125.9,9.0,2.0,8.0,,,-3.6
CC(=O)OCC1=C(C(=O)[O-])[NH+]2C(=O)C(NC(=O)Cc3cccs3)[C@H]2SC1,XIURVHNZVLADCM-WPZCJLIBSA-N,0.07,0.22,0.069,-2.9,396.44,113.0,8.0,2.0,7.0,,,-2.9
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)C(=O)C3C(C)[C@@H](OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C,ROQZUJKOMJECOM-MKLSCFFVSA-N,2.1,0.04,3.0,3.0,807.88,224.4,15.0,5.0,12.0,,,3.0
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1,GVEAYVLWDAFXET-XGHATYIMSA-N,0.2,0.09,-0.36,-0.36,572.86,52.6,6.0,0.0,6.0,,,-0.36
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[NH+]1CCCCC1,BGSZAXLLHYERSY-XQIGCQGXSA-O,0.3,0.25,3.1,1.6,557.83,55.8,6.0,0.0,6.0,,,1.6
CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([NH+]3CC[N+](C)(C)CC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[NH+]1CC[N+](C)(C)CC1,OWWLUIWOFHMHOQ-XGHATYIMSA-P,0.35,0.98,-2.1,-2.1,602.89,59.1,8.0,0.0,6.0,,,-2.1
CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@]32C)/C1=C(/CCC=C(C)C)C(=O)[O-],IECPWNUMDGFDKC-LMODMPLDSA-M,0.23,0.02,5.7,3.3,515.7,106.9,6.0,2.0,6.0,,,3.3
CC(=O)O[C@H]1C[C@]2(O)[C@H]3CC[C@H]4C[C@H](O[C@H]5C[C@@H](O)[C@@H](O[C@H]6C[C@@H](O)[C@@H](O[C@H]7C[C@@H](O)[C@@H](O)[C@H](C)O7)[C@H](C)O6)[C@H](C)O5)CC[C@@]4(C)[C@H]3CC[C@]2(C)[C@H]1C1=CC(=O)OC1,NEBPBFLVSYFRQE-ZYMOIYFGSA-N,0.78,0.07,0.93,0.93,822.98,209.1,15.0,5.0,9.0,,,0.93
CC(=O)Oc1ccccc1C(=O)[O-],BSYNRYMUTXBXSQ-UHFFFAOYSA-M,0.22,0.68,1.6,-1.7,180.16,63.6,4.0,1.0,3.0,,,-1.7
CC(=O)[C@]1(O)Cc2c([O-])c3c(c([O-])c2[C@@H](O[C@H]2C[C@H]([NH+]4CC4)[C@H](OS(C)(=O)=O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,VMDWTZZCNDEKIO-CBNJBKGYSA-M,2.95,0.006,1.5,1.4,601.62,176.7,12.0,3.0,6.0,,,1.4
CC(=O)[C@]1(O)Cc2c([O-])c3c(c([O-])c2[C@@H](O[C@H]2C[C@H]([NH3+])[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,XDXDZDZNSLXDNA-TZNDIEGXSA-M,38.0,0.076,1.3,-1.5,497.49,176.6,10.0,5.0,3.0,,,-1.5
CC(=O)[NH+]1CC[NH+]([C@H]2CC[NH+](C(=O)[NH+](C)[C@H](C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@H](c3ccc(F)cc3C)C2)CC1,XGGTZCKQRWXCHW-WMTVXVAQSA-R,2.77,1.0,5.4,5.4,616.61,47.1,6.0,0.0,4.0,,,5.4
CC(C(=O)[O-])c1ccc(C(=O)c2ccccc2)s1,GUHPRPJDBZHYCJ-UHFFFAOYSA-M,0.08,0.015,2.7,-0.53,260.31,54.4,3.0,1.0,4.0,,,-0.53
CC(C(=O)[O-])c1ccc(C(=O)c2cccs2)cc1,MDKGKXOCJGEUJW-UHFFFAOYSA-M,0.04,0.006,2.7,-0.31,260.31,54.4,3.0,1.0,4.0,,,-0.31
CC(C(=O)[O-])c1ccc(N2Cc3ccccc3C2=O)cc1,RJMIEHBSYVWVIN-UHFFFAOYSA-M,0.12,0.01,2.4,-0.59,281.31,57.6,4.0,1.0,3.0,,,-0.59
CC(C(=O)[O-])c1ccc2c(c1)[nH]c1ccc(Cl)cc12,PUXBGTOOZJQSKH-UHFFFAOYSA-M,0.22,0.001,4.0,0.95,273.71,53.1,3.0,2.0,2.0,,,0.95
CC(C(=O)[O-])c1cccc(C(=O)c2ccccc2)c1,DKYWVDODHFEZIM-UHFFFAOYSA-M,0.13,0.008,2.9,-0.072,254.28,54.4,3.0,1.0,4.0,,,-0.072
CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1,RDJGLLICXDHJDY-UHFFFAOYSA-M,0.1,0.02,3.2,0.48,242.27,46.5,3.0,1.0,4.0,,,0.48
CC(C)(C(=O)[O-])c1ccc(C(=O)CCC[NH+]2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,XGHOVGYJHWQGCC-UHFFFAOYSA-N,0.41,0.05,5.9,3.0,499.64,66.8,5.0,1.0,11.0,,,3.0
CC(C)(C)C(NC(=O)C(CC1CCCC1)CN(O)C=O)C(=O)[NH+]1CC[NH+](Cc2ccc3c(c2)OCO3)CC1,IBEANEPZNLVRRY-UHFFFAOYSA-P,1.1,0.2,2.1,2.1,530.66,111.6,10.0,2.0,9.0,,,2.1
CC(C)(C)NC(=O)C1CC[C@H]2[C@@H]3C=CC4=CC(C(=O)[O-])CC[C@]4(C)[C@H]3CC[C@]12C,RNFAQHDTIWCBAR-OREFNVRCSA-M,0.54,0.03,4.8,2.2,399.57,66.4,4.0,2.0,2.0,,,2.2
CC(C)(C)NC(=O)C1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,DBEPLOCGEIEOCV-NAYRGPGOSA-N,1.1,0.095,3.2,3.2,372.54,58.2,4.0,2.0,1.0,,,3.2
CC(C)(C)NC(=O)C1C[C@@H]2CCCC[C@@H]2C[NH+]1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,QWAXKHKRTORLEM-PVCXOJBVSA-O,3.6,0.028,3.6,3.3,670.84,166.7,11.0,5.0,12.0,,,3.3
CC(C)(C)NC(=O)C1C[NH+](Cc2cccnc2)CC[NH+]1C[C@@H](O)CC(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,CBVCZFGXHXORBI-IXVTTXLYSA-P,0.82,0.36,3.0,2.9,613.79,118.0,9.0,4.0,11.0,,,2.9
CC(C)(C)OC(=O)NC1CCCCC/C=C\[C@@H]2C[C@@]2(C(=O)[N-]S(=O)(=O)C2CC2)NC(=O)C2C[C@@H](OC(=O)[NH+]3Cc4cccc(F)c4C3)C[NH+]2C1=O,DEGZUUNHZMOMRT-INDSEIRXSA-O,0.22,0.02,4.4,1.4,731.83,180.5,14.0,3.0,7.0,,,1.4
CC(C)(C)S(=O)(=O)CC(Cc1ccccc1)C(=O)NC(Cc1c[n-]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C(O)C1CC1,BYIAQYQNWSVWGH-ZYPNLOTASA-M,0.77,0.055812888,2.0,2.0,630.84,161.5,10.0,5.0,17.0,,,2.0
CC(C)(C)[N+](O)=Cc1ccc(S(=O)(=O)[O-])cc1S(=O)(=O)[O-],DOZMLEONWYXOHJ-UHFFFAOYSA-M,0.18,0.6,-3.5,-8.5,381.33,140.5,8.0,0.0,3.0,,,-8.5
CC(C)(C)[NH2+]CC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1,MXFWWQICDIZSOA-UHFFFAOYSA-O,3.3,0.39,3.3,1.4,363.49,82.6,6.0,4.0,7.0,,,1.4
CC(C)(C)[NH2+]CC(O)COc1cccc2c1CC(O)C(O)C2,VWPOSFSPZNDTMJ-UHFFFAOYSA-O,1.9,0.14,1.1,-0.79,309.4,81.9,5.0,4.0,5.0,,,-0.79
CC(C)(C)[NH2+]CC(O)c1cc([O-])cc([O-])c1,XWTYSIMOBUGWOL-UHFFFAOYSA-M,1.5,0.75,0.93,-0.41,225.28,72.7,4.0,4.0,3.0,,,-0.41
CC(C)(C)[NH2+]CC(O)c1ccc([O-])c(CO)c1,NDAUXUAQIAJITI-UHFFFAOYSA-N,1.9,0.92,0.63,-1.5,239.31,72.7,4.0,4.0,4.0,,12.0,-1.5
CC(C)(C)[NH2+]C[C@H](O)COc1nsnc1N1CCOCC1,BLJRIMJGRPQVNF-JTQLQIEISA-O,1.5,0.9,1.4,-0.34,316.42,79.7,7.0,2.0,6.0,,,-0.34
CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,BFSMGDJOXZAERB-UHFFFAOYSA-N,0.65,0.003,5.3,5.2,519.56,110.9,7.0,2.0,5.0,,,5.2
CC(C)(O)[C@@H]1CC[C@](C)([C@H]2[C@@H](O)C[C@@]3(C)[C@@H]4C[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H]5C(C)(C)[C@@H](O[C@@H]6OC[C@@H](O)[C@H](O)[C@H]6O)CC[C@@]56C[C@@]46CC[C@]23C)O1,QMNWISYXSJWHRY-YLNUDOOFSA-N,0.12,0.14,-0.048,-0.048,784.97,228.2,14.0,9.0,6.0,,,-0.048
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)[O-])CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,UCHDWCPVSPXUMX-TZIWLTJVSA-M,0.15,0.002,8.3,4.8,586.18,70.4,4.0,2.0,11.0,,,4.8
CC(C)(ON=C(C(=O)NC1C(=O)[NH+]2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)[O-],ORFOPKXBNMVMKC-XPKAQORNSA-N,0.31,0.79,-1.7,-4.1,546.58,191.2,13.0,3.0,9.0,,,-4.1
CC(C)(S)C([NH3+])C(=O)[O-],VVNCNSJFMMFHPL-UHFFFAOYSA-N,1.26,0.12,-0.16,-1.8,149.21,63.3,3.0,2.0,1.0,,,-1.8
CC(C)([NH3+])CC(=O)NC1CCc2ccccc2N(Cc2ccc(-c3ccccc3-c3nnn[n-]3)cc2)C1=O,BCDQJEIWMPKATR-UHFFFAOYSA-N,0.2,0.06,4.1,1.8,509.6,129.9,9.0,3.0,8.0,,,1.8
CC(C)=CC[NH+]1CC[C@]2(C)c3cc([O-])ccc3C[C@H]1C2C,VOKSWYLNZZRQPF-SQJZIBIZSA-N,3.4,0.39,4.4,2.8,285.42,23.5,2.0,1.0,2.0,,,2.8
CC(C)=c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1=CC[C@@H](O)C[C@@H](O)CC(=O)[O-],DRLXVNRHGMULCY-IAGOWNOFSA-M,1.7,0.12,2.0,-1.3,481.54,140.9,9.0,3.0,10.0,,,-1.3
CC(C)C(=O)OCC(=O)[C@]12O[C@@H](C3CCCCC3)O[C@@H]1C[C@@H]1[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,UGGUCACMQFGWAH-CIRCSGMQSA-N,2.9,0.01,4.8,4.8,540.69,99.1,7.0,1.0,6.0,,,4.8
CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)[O-])CC1,OELFLUMRDSZNSF-UHFFFAOYSA-M,0.15,0.029,3.8,0.67,317.42,66.4,4.0,2.0,6.0,,,0.67
CC(C)CC(NC(=O)C(CCc1ccccc1)NC(=O)C[NH+]1CCOCC1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)[C@@]1(C)CO1,BLMPQMFVWMYDKT-YPEOYEODSA-O,0.13,0.02,5.0,4.9,719.91,158.5,12.0,4.0,20.0,,,4.9
CC(C)COC[C@@H](CN(Cc1ccccc1)c1ccccc1)[NH+]1CCCC1,UIEATEWHFDRYRU-XMMPIXPASA-O,10.1,0.001,5.4,4.9,366.54,15.7,3.0,0.0,10.0,,,4.9
CC(C)C[C@H](NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,GXJABQQUPOEUTA-LWKPJOBUSA-N,10.0,0.17,0.8,0.8,384.24,124.4,8.0,4.0,9.0,,,0.8
CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O,MXAYKZJJDUDWDS-LBPRGKRZSA-N,3.61,0.01,2.2,2.2,361.03,98.7,6.0,4.0,7.0,,,2.2
CC(C)Cc1ccc(C(C)C(=O)[O-])cc1,HEFNNWSXXWATRW-UHFFFAOYSA-M,0.15,0.006,3.2,0.34,206.28,37.3,2.0,1.0,4.0,,,0.34
CC(C)Oc1ccccc1N1CC[NH+](Cc2cccc(C(=O)[NH+]3CCCCC3)c2)CC1,ZKZFPRUSWCYSGT-UHFFFAOYSA-P,1.54,0.011,4.2,4.0,421.58,36.0,5.0,0.0,6.0,,,4.0
CC(C)[N+]1(C)[C@@H]2CC[C@H]1CC(OC(=O)C(CO)c1ccccc1)C2,OEXHQOGQTVQTAT-BZQJJPTISA-N,5.1,0.95,-0.72,-0.72,332.46,46.5,4.0,1.0,7.0,,,-0.72
CC(C)[NH+](CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,UVTNFZQICZKOEM-UHFFFAOYSA-O,0.52,0.16,2.2,-0.11,339.47,59.2,4.0,1.0,8.0,,,-0.11
CC(C)[NH+](CC[C@H](c1ccccc1)c1cc(CO)ccc1[O-])C(C)C,DUXZAXCGJSBGDW-HXUWFJFHSA-N,2.41,0.5,4.1,0.67,341.49,43.7,3.0,2.0,8.0,,,0.67
