chembl_id,drug_name,parameter,value,unit,dataset
fexofenadine hydrochloride,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1.Cl,caco2_log_permeability,-5.6999998,log10(cm/s),TDC
fluparoxan,Fc1cccc2c1O[C@H]1CNC[C@@H]1O2,caco2_log_permeability,-4.099999899999999,log10(cm/s),TDC
AACV,C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@@H](C)N,caco2_log_permeability,-5.6900001,log10(cm/s),TDC
glycerol,OCC(O)CO,caco2_log_permeability,-4.829999900000002,log10(cm/s),TDC
glycine-valine acyclovir,CC(=O)C(NC(=O)CN)c1ccc(O)cc1,caco2_log_permeability,-5.2800002,log10(cm/s),TDC
guanabenz,NC(N)=N/N=C/c1c(Cl)cccc1Cl,caco2_log_permeability,-4.6799998,log10(cm/s),TDC
hesperetin ,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,caco2_log_permeability,-4.7399998,log10(cm/s),TDC
hexapeptide 01,C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,caco2_log_permeability,-5.8200002,log10(cm/s),TDC
hexapeptide 03,C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC1=O,caco2_log_permeability,-5.8200002,log10(cm/s),TDC
hexapeptide 05,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)NC1=O,caco2_log_permeability,-5.8200002,log10(cm/s),TDC
hexapeptide 06,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC1=O,caco2_log_permeability,-5.8200002,log10(cm/s),TDC
hexapeptide 07,C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,caco2_log_permeability,-5.8200002,log10(cm/s),TDC
hexapeptide 08,C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,caco2_log_permeability,-5.8200002,log10(cm/s),TDC
hexapeptide 09,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,caco2_log_permeability,-5.3000002,log10(cm/s),TDC
aceclofenac,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,caco2_log_permeability,-4.4099998,log10(cm/s),TDC
hexapeptide 12,C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)NC1=O,caco2_log_permeability,-5.8200002,log10(cm/s),TDC
hexapeptide 13,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)NC1=O,caco2_log_permeability,-5.8200002,log10(cm/s),TDC
hexapeptide 14,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C1=O,caco2_log_permeability,-5.8200002,log10(cm/s),TDC
hexapeptide 18,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC1=O,caco2_log_permeability,-5.3000002,log10(cm/s),TDC
hexapeptide 20,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC1=O,caco2_log_permeability,-5.8200002,log10(cm/s),TDC
acetaminophen,CC(=O)Nc1ccc(O)cc1,caco2_log_permeability,-4.4400001,log10(cm/s),TDC
hexapeptide 22,C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,caco2_log_permeability,-5.8200002,log10(cm/s),TDC
hexapeptide 23,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,caco2_log_permeability,-5.8200002,log10(cm/s),TDC
hexapeptide 24,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C1=O,caco2_log_permeability,-5.8200002,log10(cm/s),TDC
hexapeptide 25,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC1=O,caco2_log_permeability,-5.8200002,log10(cm/s),TDC
hexapeptide 26,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,caco2_log_permeability,-5.3000002,log10(cm/s),TDC
hexapeptide 27,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC1=O,caco2_log_permeability,-5.3000002,log10(cm/s),TDC
hexapeptide 28,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC1=O,caco2_log_permeability,-5.0,log10(cm/s),TDC
hexapeptide 29,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC1=O,caco2_log_permeability,-5.8200002,log10(cm/s),TDC
hexapeptide 32,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C1=O,caco2_log_permeability,-5.8200002,log10(cm/s),TDC
hexapeptide 33,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC1=O,caco2_log_permeability,-5.8200002,log10(cm/s),TDC
hexapeptide 34,C[C@H]1C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N1C,caco2_log_permeability,-5.8200002,log10(cm/s),TDC
hexapeptide 37,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C1=O,caco2_log_permeability,-5.8200002,log10(cm/s),TDC
hexapeptide 38,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C1=O,caco2_log_permeability,-5.8200002,log10(cm/s),TDC
hexapeptide 41,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,caco2_log_permeability,-5.2600002,log10(cm/s),TDC
hexapeptide 42,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C1=O,caco2_log_permeability,-5.8200002,log10(cm/s),TDC
hexapeptide 47,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C1=O,caco2_log_permeability,-5.3000002,log10(cm/s),TDC
hexapeptide 48,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C1=O,caco2_log_permeability,-5.3000002,log10(cm/s),TDC
hexapeptide 52,C[C@H]1C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N1C,caco2_log_permeability,-4.6999998,log10(cm/s),TDC
hexapeptide 53,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C1=O,caco2_log_permeability,-5.3000002,log10(cm/s),TDC
hexapeptide 54,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C1=O,caco2_log_permeability,-5.0,log10(cm/s),TDC
hexapeptide 55,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C1=O,caco2_log_permeability,-5.3000002,log10(cm/s),TDC
hexapeptide 56,C[C@H]1C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N1C,caco2_log_permeability,-5.0999999,log10(cm/s),TDC
hexapeptide 57,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C1=O,caco2_log_permeability,-5.1500001,log10(cm/s),TDC
hexapeptide 58,C[C@H]1C(=O)N(C)[C@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N1C,caco2_log_permeability,-5.3000002,log10(cm/s),TDC
hexapeptide 59,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C1=O,caco2_log_permeability,-5.3000002,log10(cm/s),TDC
hexapeptide 60,C[C@H]1C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N1C,caco2_log_permeability,-5.3000002,log10(cm/s),TDC
hydralazine,NNc1nncc2ccccc12,caco2_log_permeability,-5.170000099999998,log10(cm/s),TDC
hydrocortisone,C[C@]12C[C@@H](O)[C@@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@H]1CC[C@@]2(O)C(=O)CO,caco2_log_permeability,-4.6599998,log10(cm/s),TDC
IACV,C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@H](N)[C@H](C)CC,caco2_log_permeability,-5.6799998,log10(cm/s),TDC
alminoprofen,C=C(C)CNc1ccc(C(C)C(=O)O)cc1,caco2_log_permeability,-4.3400002,log10(cm/s),TDC
imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21,caco2_log_permeability,-4.8509998,log10(cm/s),TDC
indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,caco2_log_permeability,-4.6900001,log10(cm/s),TDC
isoquercitrin ,O=c1c(OC2C(O)OC(CO)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,caco2_log_permeability,-6.170000099999998,log10(cm/s),TDC
ketoconazole,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,caco2_log_permeability,-4.9299998,log10(cm/s),TDC
lamotrigine,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,caco2_log_permeability,-4.3899999,log10(cm/s),TDC
lansoprazole,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,caco2_log_permeability,-4.1100001000000015,log10(cm/s),TDC
Liquiritin apioside ,O=c1cc(-c2ccc(O)cc2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3OC[C@](O)(CO)[C@H]3O)cc(O)c12,caco2_log_permeability,-7.119999900000002,log10(cm/s),TDC
lisinopril,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,caco2_log_permeability,-7.389999900000001,log10(cm/s),TDC
loracarbef,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1.O,caco2_log_permeability,-7.3400002,log10(cm/s),TDC
amfenac sodium,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccccc1.O.[Na+],caco2_log_permeability,-4.52,log10(cm/s),TDC
LY366659,CC(C)S(=O)(=O)n1c(N)nc2ccc(/C(=C/C(N)=O)c3c(F)c(F)cc(F)c3F)cc21,caco2_log_permeability,-4.1999998,log10(cm/s),TDC
LY366799,CC(C)S(=O)(=O)n1c(N)nc2ccc(/C(=C/C(N)=O)c3ccccc3F)cc21,caco2_log_permeability,-4.54,log10(cm/s),TDC
LY366853,C.CC(C)n1c(N)nc2ccc(/C(=C/C(N)=O)c3cccc(F)c3F)cc21,caco2_log_permeability,-5.3000002,log10(cm/s),TDC
LY366856,CC(C)S(=O)(=O)n1c(N)nc2ccc(/C(=C/C(N)=O)c3ccc(F)c(F)c3F)cc21,caco2_log_permeability,-4.329999900000002,log10(cm/s),TDC
meloxicam,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,caco2_log_permeability,-4.71,log10(cm/s),TDC
methylscopolamine,C[N+]1(C)[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1C1OC12.[Br-],caco2_log_permeability,-6.1599998,log10(cm/s),TDC
metolazone,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,caco2_log_permeability,-5.21,log10(cm/s),TDC
amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,caco2_log_permeability,-6.1524997,log10(cm/s),TDC
nadalol,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,caco2_log_permeability,-5.4109998,log10(cm/s),TDC
naproxen,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,caco2_log_permeability,-4.6599998,log10(cm/s),TDC
naproxen sodium,COc1ccc2cc(C(C)C(=O)[O-])ccc2c1.[Na+],caco2_log_permeability,-4.329999900000002,log10(cm/s),TDC
naringenin,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,caco2_log_permeability,-4.6550002,log10(cm/s),TDC
N-carbobenzoxy-tryptophan,O=C(NC(Cc1c[nH]c2ccccc12)C(=O)O)OCc1ccccc1,caco2_log_permeability,-5.8000002,log10(cm/s),TDC
N-desmethylclozapine,Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2,caco2_log_permeability,-4.6799998,log10(cm/s),TDC
neolignan smi02,C/C=C/c1cc(OC)c2c(c1)C(C)C(c1cc(OC)c(O)c(OC)c1)O2,caco2_log_permeability,-5.3400002,log10(cm/s),TDC
neolignan smi05,C=CCc1cc(OC)c(OC(C)Cc2cc(OC)c(OC)c(OC)c2)c(OC)c1,caco2_log_permeability,-4.73,log10(cm/s),TDC
ampicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,caco2_log_permeability,-5.6999998,log10(cm/s),TDC
neolignan smi08,C=CCc1cc(OC)c(OC(C)C(O)c2cc(OC)c(OC)c(OC)c2)c(OC)c1,caco2_log_permeability,-4.5500002,log10(cm/s),TDC
neolignan smi09,C=CCc1cc(OC)c(OC(C)C(O)c2ccc(O)c(OC)c2)c(OC)c1,caco2_log_permeability,-4.5100002,log10(cm/s),TDC
oxacillin,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,caco2_log_permeability,-5.579999900000002,log10(cm/s),TDC
oxprenolol ester,C=CCOc1ccccc1OC[C@@H](CNC(C)C)OC(=O)C1CC1,caco2_log_permeability,-4.545000099999998,log10(cm/s),TDC
PNU200001,N=C(N)c1ccc2[nH]c(Cc3nc4ccccc4[nH]3)nc2c1,caco2_log_permeability,-6.6999998,log10(cm/s),TDC
PNU200647,N/C(=N/O)c1ccc2[nH]c(-c3ccccn3)nc2c1,caco2_log_permeability,-4.6500001,log10(cm/s),TDC
PNU200648,Cc1ccnc2nc(Cc3nc4cc(C(=N)N)ccc4[nH]3)[nH]c12,caco2_log_permeability,-7.0500002,log10(cm/s),TDC
PNU200969,CCOC(=O)NC(=N)c1ccc2[nH]c(Cc3nc4ccccc4[nH]3)nc2c1,caco2_log_permeability,-6.1500001,log10(cm/s),TDC
pravastatin,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,caco2_log_permeability,-5.8400002,log10(cm/s),TDC
prazosin,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,caco2_log_permeability,-4.987,log10(cm/s),TDC
prednisolone,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,caco2_log_permeability,-4.7199998,log10(cm/s),TDC
preladenant,COCCOc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,caco2_log_permeability,-5.3499999,log10(cm/s),TDC
propranolol ester,CC(C)NC[C@H](COc1cccc2ccccc12)OC(=O)C1CC1,caco2_log_permeability,-4.5100002,log10(cm/s),TDC
puerarin ,O=c1c(-c2ccc(O)cc2)coc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)ccc12,caco2_log_permeability,-6.4000001,log10(cm/s),TDC
quinidine,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,caco2_log_permeability,-4.6900001,log10(cm/s),TDC
raffinose,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,caco2_log_permeability,-7.619999900000002,log10(cm/s),TDC
artesunate,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,caco2_log_permeability,-5.4000001,log10(cm/s),TDC
rapamycin,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,caco2_log_permeability,-4.96,log10(cm/s),TDC
SACV,C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@H](N)CO,caco2_log_permeability,-5.329999900000002,log10(cm/s),TDC
scopolamine,CN1[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,caco2_log_permeability,-4.928,log10(cm/s),TDC
serotonin,NCCc1c[nH]c2ccc(O)cc12,caco2_log_permeability,-4.8600001,log10(cm/s),TDC
sildenafil,CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)[nH]c12,caco2_log_permeability,-4.5100002,log10(cm/s),TDC
atropine,CN1[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2,caco2_log_permeability,-4.6999998,log10(cm/s),TDC
sulfadiazine,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,caco2_log_permeability,-4.75,log10(cm/s),TDC
sulfasalazine,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,caco2_log_permeability,-5.378171,log10(cm/s),TDC
tenidap,NC(=O)N1C(=O)C(C(=O)c2cccs2)c2cc(Cl)ccc21,caco2_log_permeability,-4.5700002,log10(cm/s),TDC
tenoxicam,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,caco2_log_permeability,-4.6100001,log10(cm/s),TDC
