chembl_id,bioavailability_frac,caco2_log_permeability,caco2_permeability_cm_s,clearance_cell_uL_min_1e6,clearance_hepatic_l_h,clearance_l_h,fu_frac,half_life_h,microsome_clearance_uL_min_mg,microsome_clint_l_h,microsome_hepatic_l_h,vd_l_kg,smiles
11e,,-4.4308991,,,,,,,,,,,C1=CC2=C(C=C1C(=O)NCC(=O)O)SC(=N2)N
11f,,-4.7979398,,,,,,,,,,,CC1=C(C(=NC(=N1)N)N)C#CC(C)C2=CC(=C(C=C2)C3=CC=CC=C3)OC
12,,-5.7702575,,,,,,,,,,,
12c,,-5.521439099999999,,,,,,,,,,,C1=CC(=C(C(=C1)OCCCCC(=O)O)C=O)O
12d,,-5.503591050000001,,,,,,,,,,,C1=C(C=C(C2(C1[N+](=O)[O-])OC3C(OC(C3O2)N4C=NC5=C(N=CN=C54)N)COP(=O)(O)OP(=O)(O)O)[N+](=O)[O-])[N+](=O)[O-]
12g,,-5.5514212,,,,,,,,,,,
12q,,-5.8219547,,,,,,,,,,,
13,,-5.3152216800000005,,,,,,,,,,,
13c,,-5.52,,,,,,,,,,,
13d,,-5.8000002,,,,,,,,,,,
13e,,-5.7199998,,,,,,,,,,,CC1(CN2C=C(N=C2O1)[N+](=O)[O-])COC3=CC=C(C=C3)N4CCN(CC4)S(=O)(=O)C5=CC=C(C=C5)C(F)(F)F
13g,,-5.5,,,,,,,,,,,
13h,,-5.3600001,,,,,,,,,,,
13i,,-5.5900002,,,,,,,,,,,CCOC(=O)C1=CC=CC=CCCNC(=O)C2=C(CC1=O)C(=C(C=C2O)O)Cl
13j,,-5.2450004,,,,,,,,,,,CC(C)C1=CC=C(C=C1)NC(=O)C2=CC=CC(=C2)C3=NN(C4=NC=NC(=C34)N)C5CCCN(C5)C(=O)CCS
14,,-5.643190625,,,,,,,,,,,
14c,,-4.9723473,,,,,,,,,,,
15,,-5.7979398,,,,,,,,,,,
150-Artesunate,,-5.4001169,,,,,,,,,,,
15f,,-4.5917602,,,,,,,,,,,C1=CC=C(C=C1)C[N+]2=CC=C(C=C2)COC(C(Cl)(Cl)Cl)N
15j,,-4.856985099999998,,,,,,,,,,,C1CN(CCC1CO)C2=C(C=CC=N2)OC3=CC=C(C=C3)NC4=NC5=CC=CC=C5N4
16,,-6.057347766666667,,,,,,,,,,,
16-acetyl gitoxin,,,,,,,,,,,,0.78,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CC(C7C8=CC(=O)OC8)OC(=O)C)O)C)C)C)C)O)O
167-cephradine,,-5.6925039,,,,,,,,,,,
17,,-6.188375,,,,,,,,,,,
170-Grepafloxacin hydrochloride (GRX),,-4.9825492,,,,,,,,,,,
174-Guanabenz,,-4.363411900000001,,,,,,,,,,,
17d,,-4.9186072,,,,,,,,,,,C1=CC=C(C=C1)CC2=CC=CC=C2C(=O)O
"18 (5R,S)",,-5.6319547,,,,,,,,,,,
187-Saquinavir,,-5.8616972,,,,,,,,,,,
19,,-5.0116143,,,,,,,,,,,
2,,-5.9381936,,,,,,,,,,,
"2',3'-dideoxyinosine (ddI)",,-5.6708102,,,,,,,,,,,C1CC(OC1CO)N2C=NC3=C2N=CNC3=O
"2-Amino-1-methyl-6-phenylimidazo-[4,5-b]pyridine (PhIP)",,-4.820511799999999,,,,,,,,,,,
20,,-4.6636984,,,,,,,,,,,
20(S)-camptothecin (CPT),,-4.3318486,,,,,,,,,,,
20-Hydroxyecdysone (25),,-4.79,,,,,,,,,,,
205-Fluoxetine,,-4.9299622,,,,,,,,,,,
20E 22-allyl ether (7),,-4.6900001,,,,,,,,,,,
20E 22-ethyl ether (5),,-4.8600001,,,,,,,,,,,
20E 22-methyl ether (4),,-4.79,,,,,,,,,,,
20E 25-methyl ether (10),,-4.7600002,,,,,,,,,,,
21,,-5.0,,,,,,,,,,,
21b,,-5.9593034000000005,,,,,,,,,,,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
21c,,-5.8519359,,,,,,,,,,,C1CN(CCC1NS(=O)(=O)CCS)C(=O)CNC2=CC(=C(C=C2O)Cl)Cl
21d,,-5.8000002,,,,,,,,,,,C1=CC2=C(C=CC=C2S(=O)(=O)O)C(=C1)S(=O)(=O)O
21e,,-5.54,,,,,,,,,,,CC(C)(C)N1C(=C(C(=N1)C2=NC3=CC=CC=C3C=C2)C(=O)N)N
22,,-5.404981725,,,,,,,,,,,
228-Raffinose,,-7.309804,,,,,,,,,,,
23,,-5.737847833333333,,,,,,,,,,,
234-Cortisone,,-4.5086384000000015,,,,,,,,,,,
24,,-5.529712833333334,,,,,,,,,,,
243-Famotidine,,-5.9488473,,,,,,,,,,,
247-Lobucavir,,-6.0555172,,,,,,,,,,,
25,,-5.123333266666666,,,,,,,,,,,
25a,,-5.769775900000001,,,,,,,,,,,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OC4C(C(OC4N5C=NC6=C(N=CN=C65)N)COP(=O)(O)OC7C(C(OC7N8C=NC9=C(N=CN=C98)N)COP(=O)(O)O)O)O)O)O)N
25c,,-5.6994848,,,,,,,,,,,
25e,,-5.5693183,,,,,,,,,,,C1=CC(=CC=C1CN=NC(=S)NC2C(C(C(C(O2)CO)O)O)O)O
25f,,-5.8880281,,,,,,,,,,,C1=CC=C2C(=C1)C(=O)NC(=N2)C3=CC=C(C=C3)Br
26,,-4.6900001,,,,,,,,,,,
263-Amrinone,,-4.7544875,,,,,,,,,,,
27,,-4.9099998,,,,,,,,,,,
28,,-5.2600002,,,,,,,,,,,
285-Ephedrine,,-4.9913998,,,,,,,,,,,
29,,-5.29,,,,,,,,,,,
2c,,-7.0,,,,,,,,,,,
2d,,-4.5086384000000015,,,,,,,,,,,C1CN=C2C3=C(C=C(C=C3)Br)SN2C1
2e,,-4.5528421,,,,,,,,,,,
2f,,-4.7447276,,,,,,,,,,,C1CN=C2C3=C(C=C(C=C3)C4=CC5=C(C=C4)OCO5)SN2C1
2g,,-4.5686364,,,,,,,,,,,
2h,,-4.6020598,,,,,,,,,,,O
2i,,-4.6382723,,,,,,,,,,,
2j,,-4.5528421,,,,,,,,,,,
2k,,-4.6382723,,,,,,,,,,,
2l,,-4.6020598,,,,,,,,,,,
2m,,-4.5376019,,,,,,,,,,,CC1C(CC(O1)N2C=C(C(=O)NC2=O)C)OP(=O)(O)OCC3C(CC(O3)N4C=CC(=NC4=O)N)OP(=O)(O)OCC5C(CC(O5)N)O
2n,,-4.5528421,,,,,,,,,,,
2o,,-4.6020598,,,,,,,,,,,
3,,-5.52575978,,,,,,,,,,,
"3',4''-diCl BZT",,-5.5975828000000005,,,,,,,,,,,
3'-Cl BZT,,-4.662271,,,,,,,,,,,
3'-L-Ile-FUdR,,-5.5599999,,,,,,,,,,,
3-O-demethylfortimicin A,,,,,,,,,,,,0.27,CC(C1CCC(C(O1)OC2C(C(C(C(C2O)N(C)C(=O)CN)O)O)N)N)N
"3-[5-(4-hydroxyphenyl)-1,3-oxazol-2-yl]phenol (18)",,-5.1011863,,,,,,,,,,,
30,,-5.1100001,,,,,,,,,,,
30d,,-5.7979398,,,,,,,,,,,
31,,-4.8202834,,,,,,,,,,,
32,,-5.099535800000001,,,,,,,,,,,
32b,,-4.8880281,,,,,,,,,,,CCC(C1=C(C(=C(C=C1)C(=O)O)OC2=CC(=CC=C2)Cl)OC)N3CCCC(C3)N4C=C(C(=O)NC4=O)C
32f,,-5.238286,,,,,,,,,,,C1=CC=C2C(=C1)C(=O)NC(=N2)C3=CC=C(C=C3)OCC(=O)O
32g,,-4.8219547,,,,,,,,,,,C1C2C(C(S1)CCCCCC3=CN(N=N3)CCCCN4C=NC5=C(N=CN=C54)N)NC(=O)N2
32h,,-4.9204097,,,,,,,,,,,C1=CC(=CC=C1C2=C(SC3=C2C(=C(C(=O)N3)C#N)O)Br)Br
34,,-5.589919433333333,,,,,,,,,,,
341908,,-4.331273599999999,,,,,,,,,,,
35,,-4.6493707,,,,,,,,,,,
353462,,-4.1700001,,,,,,,,,,,
354400,,-4.5388007,,,,,,,,,,,
36,,-4.988223300000001,,,,,,,,,,,
366094,,-5.0,,,,,,,,,,,
366853,,-5.187450900000001,,,,,,,,,,,
368177,,-4.907450700000001,,,,,,,,,,,
4,,-5.810210733333332,,,,,,,,,,,
4'-Cl BZT,,-4.9114642,,,,,,,,,,,
4-(Pyridin-4-ylmethylamino)-N-(3-(trifluoromethyl)phenyl)isothiazole-3-carboxamide (3),,-5.158072,,,,,,,,,,,
4-(quinolin-4-ylmethylamino)-N-(3-(trifluoromethyl)phenyl)isothiazole-3-carboxamide (30),,-5.5700002,,,,,,,,,,,
403-Atorvastatin,,-5.309804,,,,,,,,,,,
"453-(2E,4E,8Z,10Z)-N-Isobutyldodeca-2,4,8,10-tetraenamide (5) mw=247",,-4.2441254,,,,,,,,,,,
45a,,-4.8899999,,,,,,,,,,,CP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
45b,,-5.2199998,,,,,,,,,,,CC(=O)N1CCN(CC1)C(=O)CC2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4=CC=C(C=C4)C(=O)NC5=CC=CC=C5Cl)F
45c,,-4.6999998,,,,,,,,,,,C1=C(C(=CC(=C1Cl)Cl)O)O
48,,-5.3665314,,,,,,,,,,,
48d,,-5.1919103,,,,,,,,,,,
48e,,-5.9593034000000005,,,,,,,,,,,C1=CC=C(C=C1)C2=CN(N=N2)C(CO)C(=O)NCC3C(C(C(O3)N4C=CC(=O)NC4=O)O)O
49,,-5.7447276,,,,,,,,,,,
4b,,-5.5,,,,,,,,,,,
4c,,-5.6600001,,,,,,,,,,,
4d,,-5.5,,,,,,,,,,,
4f,,-6.0,,,,,,,,,,,
4g,,-5.5,,,,,,,,,,,C1CNC(=NC1)C2=C(C(=CC=C2)Br)S
4h,,-5.3000002,,,,,,,,,,,
5,,-5.647924400000001,,,,,,,,,,,
5'-L-Asp-FUdR,,-6.4899998,,,,,,,,,,,
5'-L-Leu-FUdR,,-6.0100002,,,,,,,,,,,
5'-L-Val-FUdR,,-5.29,,,,,,,,,,,
5'-L-glycyl-L-leucyl-floxuridine,,-5.2006745,,,,,,,,,,,
5'-L-isoleucyl-floxuridine,,-5.5908804000000005,,,,,,,,,,,
5'-L-leucyl-L-glycyl-floxuridine,,-5.4206805000000005,,,,,,,,,,,
5'-L-phenylalanyl-cytarabine (5),,-5.6999998,,,,,,,,,,,
5'-L-phenylalanyl-floxuridine,,-5.3891382000000005,,,,,,,,,,,
5'-L-valyl-L-phenylalanyl-floxuridine,,-6.080461,,,,,,,,,,,
5'-L-valyl-cytarabine (2),,-5.23,,,,,,,,,,,
"5,7,4'-TMF",,-4.5595455000000005,,,,,,,,,,,
"5,7-DMF",,-4.6313224,,,,,,,,,,,
5-Hydroxymethyl tolterodine,,,,,,,,,,,,2.41,CC(C)N(CCC(C1=CC=CC=C1)C2=C(C=CC(=C2)CO)O)C(C)C
5-aminolevulinic acid,,-5.3400002,,,,,,,,,,,C(CC(=O)O)C(=O)CN
5-chlorosalicylic acid,,-4.98,,,,,,,,,,,C1=CC(=C(C=C1Cl)C(=O)O)O
51a,,-4.8899999,,,,,,,,,,,CC(=O)NC1=CN=C([N+]2=C1NN=C2)NCC3=C(C=CC4=C3CCO4)F
51d,,-5.3000002,,,,,,,,,,,C1=CN(N=C1)C2=NC=NC(=C2)C3=C(C(=CC(=C3)C#N)Cl)F
51e,,-5.0500002,,,,,,,,,,,C1=CC(=NC=C1F)C2=CC(=NC=N2)C3=CC(=CC(=C3)C#N)Cl
5d,,-6.0999999,,,,,,,,,,,
5m,,-6.3000002,,,,,,,,,,,O[Si](=O)[O-].O[Si](=O)[O-].[Al+2]
6,,-5.570015239999999,,,,,,,,,,,
60a,,-4.5900002,,,,,,,,,,,CC(COCCO)OC=O
60c,,-4.4899998,,,,,,,,,,,C12=C3C4=C5C6=C1C7=C8C9=C1C%10=C%11C(=C29)C3=C2C3=C4C4=C5C5=C9C6=C7C6=C7C8=C1C1=C8C%10=C%10C%11=C2C2=C3C3=C4C4=C5C5=C%11C%12=C(C6=C95)C7=C1C1=C%12C5=C%11C4=C3C3=C5C(=C81)C%10=C23
619C89,,,,,,,,,,,,15.31,CN1CCN(CC1)C2=NC=C(C(=N2)N)C3=C(C(=CC(=C3)Cl)Cl)Cl
"643-(2E,4E,8Z)-N-isobutyldodeca-2,4,8-trienamide (6) mw = 249",,-4.6989698,,,,,,,,,,,
65,,-5.221849,,,,,,,,,,,
659-Harmane,,-5.223299,,,,,,,,,,,
677-Prednisolone,,-5.4436975,,,,,,,,,,,
679-Captopril (Cap),,-4.8153086,,,,,,,,,,,
67c,,-4.4899998,,,,,,,,,,,CN(C)C(=O)C1=CC=CC(=C1)C2=CN(C(=O)C3=C2C=CN3)CCC=C
6MAQH (W2),,-4.8496218,,,,,,,,,,,
6b,,-5.7209244,,,,,,,,,,,
7,,-5.63885665,,,,,,,,,,,
"7,4'-DHF",,-5.2123351,,,,,,,,,,,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C=C3)O)O
"7,4'-DMF",,-4.6010299,,,,,,,,,,,
7-MF,,-4.6479459,,,,,,,,,,,
732-Amitriptyline,,-3.9006648,,,,,,,,,,,
74,,-5.6989698,,,,,,,,,,,
795-Coptisine chloride (COP),,-4.9574246,,,,,,,,,,,
7d,,-5.3000002,,,,,,,,,,,
8,,-5.929649366666666,,,,,,,,,,,
"8-Hydroxy-pentadeca-(9E,13Z)-dien-11-yn-2-one (2)",,-4.3099017,,,,,,,,,,,
801-Yohimbine (YOH),,-4.8124795,,,,,,,,,,,
808-Asn-Ala-NH2,,-6.5885487000000005,,,,,,,,,,,
852A,,,,,,,,,,,,3.1,CCC1=NC2=C(N1CCCCNS(=O)(=O)C)C3=CC=CC=C3N=C2N
"877-(2S,4S,5R)-2-[(4'-Chlorophenyl)-4-methyl-1,3-dioxan-5-yl]amine (5h)",,-4.9279342,,,,,,,,,,,
"878-(2S,4S,5R)-2-[(4'-Nitrophenyl)-4-methyl-1,3-dioxan-5-yl]amine (5i)",,-4.8885694000000015,,,,,,,,,,,
"879-(cis)-[2-(E-Phenylvinyl)-1,3-dioxan-5-yl]amine (6a)",,-4.9913998,,,,,,,,,,,
"880-(2S,4S,5R)-[2-(E-Phenylvinyl)-4-methyl-1,3-dioxan-5-yl]amine (6b)",,-4.9880071,,,,,,,,,,,
881-13h,,-4.9920392,,,,,,,,,,,
882-13i,,-4.9846401,,,,,,,,,,,
"883-(cis)-[2-(E-Phenylvinyl)-1,3-dioxan-5-yl]phenylacetamide (14a)",,-5.0498786,,,,,,,,,,,
884-14b,,-5.050365900000001,,,,,,,,,,,
9,,-5.59722805,,,,,,,,,,,
9-Nitrocamptothecin (9-NC),,-5.198543099999998,,,,,,,,,,,
943-Ketotifen fumarate (38),,-3.9546771,,,,,,,,,,,
AACV,,-5.6900001,,,,,,,,,,,
ACHT 4-10,,,,,,,,,,,,0.73,
AFN-1252,,,,,,,,,,,,0.43,CC1=C(OC2=CC=CC=C12)CN(C)C(=O)C=CC3=CC4=C(NC(=O)CC4)N=C3
AMP579,,,,,,,,,,,,0.84,CCC(CC1=C(C=CS1)Cl)NC2=C3C=CN(C3=NC=N2)C4CC(C(C4O)O)C(=O)NCC
AP1903,,,,,,,,,,,,0.62,CCC(C1=CC(=C(C(=C1)OC)OC)OC)C(=O)N2CCCCC2C(=O)OC(CCC3=CC(=C(C=C3)OC)OC)C4=CC(=CC=C4)OCC(=O)NCCNC(=O)COC5=CC=CC(=C5)C(CCC6=CC(=C(C=C6)OC)OC)OC(=O)C7CCCCN7C(=O)C(CC)C8=CC(=C(C(=C8)OC)OC)OC
AZD4877,,,,,,,,,,,,6.74,CC1=CC=C(C=C1)C(=O)N(CCCN)C(C2=NC3=C(C(=NS3)C)C(=O)N2CC4=CC=CC=C4)C(C)C
Abacavir,1.0,,,,,,,,,,,0.84,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO
Abanoquil,,,,,,,,,,,,6.3,COC1=C(C=C2CN(CCC2=C1)C3=NC4=CC(=C(C=C4C(=C3)N)OC)OC)OC
Ac-(NMe-D-phe)3-NH2,,-4.6937804000000005,,,,,,,,,,,
Ac-(NMe-D-phe)3-NHMe,,-4.494889700000001,,,,,,,,,,,
Ac-C8-Enk-NH (3),,-5.9699998,,,,,,,,,,,
Ac-D-phe-(NMe-D-phe)2-NH2 {[14C]-Acf(N-Mef)2NH2 },,-4.922927400000002,,,,,,,,,,,
Ac-D-phe-NH2,,-5.10009,,,,,,,,,,,
Ac-D-phe2-(NMe-D-phe)-NH2,,-5.3484769,,,,,,,,,,,
Ac-D-phe2-NH2,,-5.6994848,,,,,,,,,,,
Ac-D-phe3-NH2,,-5.764868700000001,,,,,,,,,,,
Ac-Gly-Asn-Ala-NH2,,-6.5900002,,,,,,,,,,,
Ac-Gly-Lys-Ala-NH2,,-7.0100002,,,,,,,,,,,
Ac-Trp-Ala-Gly-Gly-Asp-Ala-NH2,,-7.4981046,,,,,,,,,,,CC(C(=O)N)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)CNC(=O)C(C)NC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)C
Ac-Trp-Ala-Gly-Gly-Lys-Ala-NH2,,-7.309999900000001,,,,,,,,,,,
Acamprosate,0.0,,,,,,,,,,,0.3,CC(=O)NCCCS(=O)(=O)O
Acarbose,0.0,,,,,,,,,,,0.32,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)NC3C=C(C(C(C3O)O)O)CO
Acebutolol,1.0,,,,,,,,,,,1.7,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C
Acecainide (N-acetylprocainamide),,,,,,,,,,,,1.9,
Acenocoumarol,,,,,,,,,,,,0.24,CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O
Acetaminophen,1.0,,,,,,,,,,,1.0,CC(=O)NC1=CC=C(C=C1)O
Acetazolamide,1.0,,,,,,,,,,,0.37,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
Acetyl-Trp-Ala-Gly-Gly-Asn-Ala-Amide,,-7.29,,,,,,,,,,,
Acetylcysteine,0.0,,,,,,,,,,,,CC(=O)NC(CS)C(=O)O
"Acetylcysteine, N-",,,,,,,,,,,,0.55,
"Acetylmethadol, L-",,,,,,,,,,,,8.3,
Acetylsalicylic Acid,,,,,,,,,,,,0.22,CC(=O)OC1=CC=CC=C1C(=O)O
Acipimox,1.0,,,,,,,,,,,,CC1=CN=C(C=[N+]1[O-])C(=O)O
Acitretin,1.0,,,,,,,,,,,,CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC
Acivicin,,,,,,,,,,,,0.5,C1C(ON=C1Cl)C(C(=O)O)N
Aclidinium bromide,,,,,,,,,,,,4.3,C1C[N+]2(CCC1C(C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5.[Br-]
Acrivastine,,-5.720623000000002,,,,,,,,,,,CC1=CC=C(C=C1)C(=CCN2CCCC2)C3=CC=CC(=N3)C=CC(=O)O
Acrylamide,,-4.5693183,,,,,,,,,,,C=CC(=O)N
Actisomide,,,,,,,,,,,,0.58,CC1=NC(=O)C(C2N1CCCC2)(CCN(C(C)C)C(C)C)C3=CC=CC=C3
Acyclovir,0.0,-5.9899998,,,,,,,,,,0.71,C1=NC2=C(N1COCCO)N=C(NC2=O)N
Adefovir,0.0,,,,,,,,,,,0.42,C1=NC(=C2C(=N1)N(C=N2)CCOCP(=O)(O)O)N
Adinazolam,1.0,,,,,,,,,,,0.98,CN(C)CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
Ajmalicine (AMC),,-4.8187928,,,,,,,,,,,
Ajmaline,,,,,,,,,,,,4.0,CCC1C2CC3C4C5(CC(C2C5O)N3C1O)C6=CC=CC=C6N4C
Ajmaline (AML),,-4.9387093,,,,,,,,,,,
Albuterol (salbutamol),,,,,,,,,,,,1.9,
Alcuronium,0.0,,,,,,,,,,,0.32,C=CC[N+]12CCC34C1CC(C(=CCO)C2)C5=CN6C7C(=CN(C53)C8=CC=CC=C48)C9CC1C7(CC[N+]1(CC9=CCO)CC=C)C1=CC=CC=C16
Alendronate,,,,,,,,,,,,0.33,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
Alfentanil,0.0,,,,,,,,,,,0.45,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC
Alfuzosin,1.0,-5.6399999,,,,,,,,,,1.5,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
Alizapride,1.0,,,,,,,,,,,1.6,COC1=CC2=C(C=C1C(=O)NCC3CCCN3CC=C)NN=N2
Allopurinol,1.0,,,,,,,,,,,0.58,C1=NNC2=C1C(=O)NC=N2
Almitrine,1.0,,,,,,,,,,,35.37,C=CCNC1=NC(=NC(=N1)N2CCN(CC2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)NCC=C
Almokalant,,,,,,,,,,,,1.8,CCCS(=O)CCCN(CC)CC(COC1=CC=C(C=C1)C#N)O
Almorexant,,,,,,,,,,,,9.75,CNC(=O)C(C1=CC=CC=C1)N2CCC3=CC(=C(C=C3C2CCC4=CC=C(C=C4)C(F)(F)F)OC)OC
Almotriptan,1.0,,,,,,,,,,,2.2,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3
Alosetron,1.0,,,,,,,,,,,1.1,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C
Alpiropride,,,,,,,,,,,,2.3,CNS(=O)(=O)C1=C(C=C(C(=C1)C(=O)NCC2CCCN2CC=C)OC)N
Alprazolam,1.0,,,,,,,,,,,0.8,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
Alprenolol,0.0,,,,,,,,,,,3.2,CC(C)NCC(COC1=CC=CC=C1CC=C)O
Alprenolol ester,,-4.1507826,,,,,,,,,,,
Alprostadil,0.0,,,,,,,,,,,2.4,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O
Amantadine,1.0,,,,,,,,,,,6.6,C1C2CC3CC1CC(C2)(C3)N
Ambroxol,1.0,,,,,,,,,,,,C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O
Amdinocillin,0.0,,,,,,,,,,,0.37,CC1(C(N2C(S1)C(C2=O)N=CN3CCCCCC3)C(=O)O)C
Amezinium,,,,,,,,,,,,4.0,COC1=[N+](N=CC(=C1)N)C2=CC=CC=C2
Amfenac,,-4.52,,,,,,,,,,,C1=CC=C(C=C1)C(=O)C2=CC=CC(=C2N)CC(=O)O
Amifostine,,,,,,,,,,,,0.09,C(CN)CNCCSP(=O)(O)O
Amikacin,0.0,,,,,,,,,,,0.16,C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N
Amiloride,1.0,-6.251812,,,,,,,,,,,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N
"Aminocamptothecin, 9-",,,,,,,,,,,,2.2,
"Aminohexanoic acid, 6-",,,,,,,,,,,,0.39,
Aminolevulinic acid,,,,,,,,,,,,0.12,C(CC(=O)O)C(=O)CN
Aminopyrine,,-4.389419599999999,,,,,,,,,,,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C
"Aminosalicylic acid, 5-",,,,,,,,,,,,0.33,
Amiodarone,1.0,,,,,,,,,,,60.0,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I
Amisulpride,1.0,,,,,,,,,,,,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
Amitriptyline,1.0,-4.2600002,,,,,,,,,,8.7,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
Amlodipine,1.0,-4.670000099999998,,,,,,,,,,17.0,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
Amobarbital,1.0,,,,,,,,,,,,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C
Amonafide,,,,,,,,,,,,7.33,CN(C)CCN1C(=O)C2=CC=CC3=CC(=CC(=C32)C1=O)N
Amoxapine,1.0,,,,,,,,,,,,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
