chembl_id,bioavailability_frac,caco2_log_permeability,caco2_permeability_cm_s,clearance_cell_uL_min_1e6,clearance_hepatic_l_h,clearance_l_h,fu_frac,half_life_h,microsome_clearance_uL_min_mg,microsome_clint_l_h,microsome_hepatic_l_h,vd_l_kg,smiles
13,,-5.3152216800000005,,,,,,,,,,,
13c,,-5.52,,,,,,,,,,,
13d,,-5.8000002,,,,,,,,,,,
13e,,-5.7199998,,,,,,,,,,,
13g,,-5.5,,,,,,,,,,,
13h,,-5.3600001,,,,,,,,,,,
13i,,-5.5900002,,,,,,,,,,,
13j,,-5.2450004,,,,,,,,,,,
14,,-5.643190625,,,,,,,,,,,
14c,,-4.9723473,,,,,,,,,,,
15,,-5.7979398,,,,,,,,,,,
150-Artesunate,,-5.4001169,,,,,,,,,,,
15f,,-4.5917602,,,,,,,,,,,
15j,,-4.856985099999998,,,,,,,,,,,
16,,-6.057347766666667,,,,,,,,,,,
16-acetyl gitoxin,,,,,,,,,,,,0.78,
167-cephradine,,-5.6925039,,,,,,,,,,,
17,,-6.188375,,,,,,,,,,,
170-Grepafloxacin hydrochloride (GRX),,-4.9825492,,,,,,,,,,,
174-Guanabenz,,-4.363411900000001,,,,,,,,,,,
17d,,-4.9186072,,,,,,,,,,,
"18 (5R,S)",,-5.6319547,,,,,,,,,,,
187-Saquinavir,,-5.8616972,,,,,,,,,,,
19,,-5.0116143,,,,,,,,,,,
2,,-5.9381936,,,,,,,,,,,
"2',3'-dideoxyinosine (ddI)",,-5.6708102,,,,,,,,,,,
"2-Amino-1-methyl-6-phenylimidazo-[4,5-b]pyridine (PhIP)",,-4.820511799999999,,,,,,,,,,,
20,,-4.6636984,,,,,,,,,,,
20(S)-camptothecin (CPT),,-4.3318486,,,,,,,,,,,
20-Hydroxyecdysone (25),,-4.79,,,,,,,,,,,
205-Fluoxetine,,-4.9299622,,,,,,,,,,,
20E 22-allyl ether (7),,-4.6900001,,,,,,,,,,,
20E 22-ethyl ether (5),,-4.8600001,,,,,,,,,,,
20E 22-methyl ether (4),,-4.79,,,,,,,,,,,
20E 25-methyl ether (10),,-4.7600002,,,,,,,,,,,
21,,-5.0,,,,,,,,,,,
21b,,-5.9593034000000005,,,,,,,,,,,
21c,,-5.8519359,,,,,,,,,,,
21d,,-5.8000002,,,,,,,,,,,
21e,,-5.54,,,,,,,,,,,
22,,-5.404981725,,,,,,,,,,,
228-Raffinose,,-7.309804,,,,,,,,,,,
23,,-5.737847833333333,,,,,,,,,,,
234-Cortisone,,-4.5086384000000015,,,,,,,,,,,
24,,-5.529712833333334,,,,,,,,,,,
243-Famotidine,,-5.9488473,,,,,,,,,,,
247-Lobucavir,,-6.0555172,,,,,,,,,,,
25,,-5.123333266666666,,,,,,,,,,,
25a,,-5.769775900000001,,,,,,,,,,,
25c,,-5.6994848,,,,,,,,,,,
25e,,-5.5693183,,,,,,,,,,,
25f,,-5.8880281,,,,,,,,,,,
26,,-4.6900001,,,,,,,,,,,
263-Amrinone,,-4.7544875,,,,,,,,,,,
27,,-4.9099998,,,,,,,,,,,
28,,-5.2600002,,,,,,,,,,,
285-Ephedrine,,-4.9913998,,,,,,,,,,,
29,,-5.29,,,,,,,,,,,
2c,,-7.0,,,,,,,,,,,
2d,,-4.5086384000000015,,,,,,,,,,,
2e,,-4.5528421,,,,,,,,,,,
2f,,-4.7447276,,,,,,,,,,,
2g,,-4.5686364,,,,,,,,,,,
2h,,-4.6020598,,,,,,,,,,,
2i,,-4.6382723,,,,,,,,,,,
2j,,-4.5528421,,,,,,,,,,,
2k,,-4.6382723,,,,,,,,,,,
2l,,-4.6020598,,,,,,,,,,,
2m,,-4.5376019,,,,,,,,,,,
2n,,-4.5528421,,,,,,,,,,,
2o,,-4.6020598,,,,,,,,,,,
3,,-5.52575978,,,,,,,,,,,
"3',4''-diCl BZT",,-5.5975828000000005,,,,,,,,,,,
3'-Cl BZT,,-4.662271,,,,,,,,,,,
3'-L-Ile-FUdR,,-5.5599999,,,,,,,,,,,
3-O-demethylfortimicin A,,,,,,,,,,,,0.27,
"3-[5-(4-hydroxyphenyl)-1,3-oxazol-2-yl]phenol (18)",,-5.1011863,,,,,,,,,,,
30,,-5.1100001,,,,,,,,,,,
30d,,-5.7979398,,,,,,,,,,,
31,,-4.8202834,,,,,,,,,,,
32,,-5.099535800000001,,,,,,,,,,,
32b,,-4.8880281,,,,,,,,,,,
32f,,-5.238286,,,,,,,,,,,
32g,,-4.8219547,,,,,,,,,,,
32h,,-4.9204097,,,,,,,,,,,
34,,-5.589919433333333,,,,,,,,,,,
341908,,-4.331273599999999,,,,,,,,,,,
35,,-4.6493707,,,,,,,,,,,
353462,,-4.1700001,,,,,,,,,,,
354400,,-4.5388007,,,,,,,,,,,
36,,-4.988223300000001,,,,,,,,,,,
366094,,-5.0,,,,,,,,,,,
366853,,-5.187450900000001,,,,,,,,,,,
368177,,-4.907450700000001,,,,,,,,,,,
4,,-5.810210733333332,,,,,,,,,,,
4'-Cl BZT,,-4.9114642,,,,,,,,,,,
4-(Pyridin-4-ylmethylamino)-N-(3-(trifluoromethyl)phenyl)isothiazole-3-carboxamide (3),,-5.158072,,,,,,,,,,,
4-(quinolin-4-ylmethylamino)-N-(3-(trifluoromethyl)phenyl)isothiazole-3-carboxamide (30),,-5.5700002,,,,,,,,,,,
403-Atorvastatin,,-5.309804,,,,,,,,,,,
"453-(2E,4E,8Z,10Z)-N-Isobutyldodeca-2,4,8,10-tetraenamide (5) mw=247",,-4.2441254,,,,,,,,,,,
45a,,-4.8899999,,,,,,,,,,,
45b,,-5.2199998,,,,,,,,,,,
45c,,-4.6999998,,,,,,,,,,,
48,,-5.3665314,,,,,,,,,,,
48d,,-5.1919103,,,,,,,,,,,
48e,,-5.9593034000000005,,,,,,,,,,,
49,,-5.7447276,,,,,,,,,,,
4b,,-5.5,,,,,,,,,,,
4c,,-5.6600001,,,,,,,,,,,
4d,,-5.5,,,,,,,,,,,
4f,,-6.0,,,,,,,,,,,
4g,,-5.5,,,,,,,,,,,
4h,,-5.3000002,,,,,,,,,,,
5,,-5.647924400000001,,,,,,,,,,,
5'-L-Asp-FUdR,,-6.4899998,,,,,,,,,,,
5'-L-Leu-FUdR,,-6.0100002,,,,,,,,,,,
5'-L-Val-FUdR,,-5.29,,,,,,,,,,,
5'-L-glycyl-L-leucyl-floxuridine,,-5.2006745,,,,,,,,,,,
5'-L-isoleucyl-floxuridine,,-5.5908804000000005,,,,,,,,,,,
5'-L-leucyl-L-glycyl-floxuridine,,-5.4206805000000005,,,,,,,,,,,
5'-L-phenylalanyl-cytarabine (5),,-5.6999998,,,,,,,,,,,
5'-L-phenylalanyl-floxuridine,,-5.3891382000000005,,,,,,,,,,,
5'-L-valyl-L-phenylalanyl-floxuridine,,-6.080461,,,,,,,,,,,
5'-L-valyl-cytarabine (2),,-5.23,,,,,,,,,,,
"5,7,4'-TMF",,-4.5595455000000005,,,,,,,,,,,
"5,7-DMF",,-4.6313224,,,,,,,,,,,
5-Hydroxymethyl tolterodine,,,,,,,,,,,,2.41,
5-aminolevulinic acid,,-5.3400002,,,,,,,,,,,
5-chlorosalicylic acid,,-4.98,,,,,,,,,,,
51a,,-4.8899999,,,,,,,,,,,
51d,,-5.3000002,,,,,,,,,,,
51e,,-5.0500002,,,,,,,,,,,
5d,,-6.0999999,,,,,,,,,,,
5m,,-6.3000002,,,,,,,,,,,
6,,-5.570015239999999,,,,,,,,,,,
60a,,-4.5900002,,,,,,,,,,,
60c,,-4.4899998,,,,,,,,,,,
619C89,,,,,,,,,,,,15.31,
"643-(2E,4E,8Z)-N-isobutyldodeca-2,4,8-trienamide (6) mw = 249",,-4.6989698,,,,,,,,,,,
65,,-5.221849,,,,,,,,,,,
659-Harmane,,-5.223299,,,,,,,,,,,
677-Prednisolone,,-5.4436975,,,,,,,,,,,
679-Captopril (Cap),,-4.8153086,,,,,,,,,,,
67c,,-4.4899998,,,,,,,,,,,
6MAQH (W2),,-4.8496218,,,,,,,,,,,
6b,,-5.7209244,,,,,,,,,,,
7,,-5.63885665,,,,,,,,,,,
"7,4'-DHF",,-5.2123351,,,,,,,,,,,
"7,4'-DMF",,-4.6010299,,,,,,,,,,,
7-MF,,-4.6479459,,,,,,,,,,,
732-Amitriptyline,,-3.9006648,,,,,,,,,,,
74,,-5.6989698,,,,,,,,,,,
795-Coptisine chloride (COP),,-4.9574246,,,,,,,,,,,
7d,,-5.3000002,,,,,,,,,,,
8,,-5.929649366666666,,,,,,,,,,,
"8-Hydroxy-pentadeca-(9E,13Z)-dien-11-yn-2-one (2)",,-4.3099017,,,,,,,,,,,
801-Yohimbine (YOH),,-4.8124795,,,,,,,,,,,
808-Asn-Ala-NH2,,-6.5885487000000005,,,,,,,,,,,
852A,,,,,,,,,,,,3.1,
"877-(2S,4S,5R)-2-[(4'-Chlorophenyl)-4-methyl-1,3-dioxan-5-yl]amine (5h)",,-4.9279342,,,,,,,,,,,
"878-(2S,4S,5R)-2-[(4'-Nitrophenyl)-4-methyl-1,3-dioxan-5-yl]amine (5i)",,-4.8885694000000015,,,,,,,,,,,
"879-(cis)-[2-(E-Phenylvinyl)-1,3-dioxan-5-yl]amine (6a)",,-4.9913998,,,,,,,,,,,
"880-(2S,4S,5R)-[2-(E-Phenylvinyl)-4-methyl-1,3-dioxan-5-yl]amine (6b)",,-4.9880071,,,,,,,,,,,
881-13h,,-4.9920392,,,,,,,,,,,
882-13i,,-4.9846401,,,,,,,,,,,
"883-(cis)-[2-(E-Phenylvinyl)-1,3-dioxan-5-yl]phenylacetamide (14a)",,-5.0498786,,,,,,,,,,,
884-14b,,-5.050365900000001,,,,,,,,,,,
9,,-5.59722805,,,,,,,,,,,
9-Nitrocamptothecin (9-NC),,-5.198543099999998,,,,,,,,,,,
943-Ketotifen fumarate (38),,-3.9546771,,,,,,,,,,,
AACV,,-5.6900001,,,,,,,,,,,
ACHT 4-10,,,,,,,,,,,,0.73,
AFN-1252,,,,,,,,,,,,0.43,
AMP579,,,,,,,,,,,,0.84,
AP1903,,,,,,,,,,,,0.62,
AZD4877,,,,,,,,,,,,6.74,
Abacavir,1.0,,,,,,,,,,,0.84,
Abanoquil,,,,,,,,,,,,6.3,
Ac-(NMe-D-phe)3-NH2,,-4.6937804000000005,,,,,,,,,,,
Ac-(NMe-D-phe)3-NHMe,,-4.494889700000001,,,,,,,,,,,
Ac-C8-Enk-NH (3),,-5.9699998,,,,,,,,,,,
Ac-D-phe-(NMe-D-phe)2-NH2 {[14C]-Acf(N-Mef)2NH2 },,-4.922927400000002,,,,,,,,,,,
Ac-D-phe-NH2,,-5.10009,,,,,,,,,,,
Ac-D-phe2-(NMe-D-phe)-NH2,,-5.3484769,,,,,,,,,,,
Ac-D-phe2-NH2,,-5.6994848,,,,,,,,,,,
Ac-D-phe3-NH2,,-5.764868700000001,,,,,,,,,,,
Ac-Gly-Asn-Ala-NH2,,-6.5900002,,,,,,,,,,,
Ac-Gly-Lys-Ala-NH2,,-7.0100002,,,,,,,,,,,
Ac-Trp-Ala-Gly-Gly-Asp-Ala-NH2,,-7.4981046,,,,,,,,,,,
Ac-Trp-Ala-Gly-Gly-Lys-Ala-NH2,,-7.309999900000001,,,,,,,,,,,
Acamprosate,0.0,,,,,,,,,,,0.3,
Acarbose,0.0,,,,,,,,,,,0.32,
Acebutolol,1.0,,,,,,,,,,,1.7,
Acecainide (N-acetylprocainamide),,,,,,,,,,,,1.9,
Acenocoumarol,,,,,,,,,,,,0.24,
Acetaminophen,1.0,,,,,,,,,,,1.0,
Acetazolamide,1.0,,,,,,,,,,,0.37,
Acetyl-Trp-Ala-Gly-Gly-Asn-Ala-Amide,,-7.29,,,,,,,,,,,
Acetylcysteine,0.0,,,,,,,,,,,,
"Acetylcysteine, N-",,,,,,,,,,,,0.55,
"Acetylmethadol, L-",,,,,,,,,,,,8.3,
Acetylsalicylic Acid,,,,,,,,,,,,0.22,
Acipimox,1.0,,,,,,,,,,,,
Acitretin,1.0,,,,,,,,,,,,
Acivicin,,,,,,,,,,,,0.5,
Aclidinium bromide,,,,,,,,,,,,4.3,
Acrivastine,,-5.720623000000002,,,,,,,,,,,
Acrylamide,,-4.5693183,,,,,,,,,,,
Actisomide,,,,,,,,,,,,0.58,
Acyclovir,0.0,-5.9899998,,,,,,,,,,0.71,
Adefovir,0.0,,,,,,,,,,,0.42,
Adinazolam,1.0,,,,,,,,,,,0.98,
Ajmalicine (AMC),,-4.8187928,,,,,,,,,,,
Ajmaline,,,,,,,,,,,,4.0,
Ajmaline (AML),,-4.9387093,,,,,,,,,,,
Albuterol (salbutamol),,,,,,,,,,,,1.9,
Alcuronium,0.0,,,,,,,,,,,0.32,
Alendronate,,,,,,,,,,,,0.33,
Alfentanil,0.0,,,,,,,,,,,0.45,
Alfuzosin,1.0,-5.6399999,,,,,,,,,,1.5,
Alizapride,1.0,,,,,,,,,,,1.6,
Allopurinol,1.0,,,,,,,,,,,0.58,
Almitrine,1.0,,,,,,,,,,,35.37,
Almokalant,,,,,,,,,,,,1.8,
Almorexant,,,,,,,,,,,,9.75,
Almotriptan,1.0,,,,,,,,,,,2.2,
Alosetron,1.0,,,,,,,,,,,1.1,
Alpiropride,,,,,,,,,,,,2.3,
Alprazolam,1.0,,,,,,,,,,,0.8,
Alprenolol,0.0,,,,,,,,,,,3.2,
Alprenolol ester,,-4.1507826,,,,,,,,,,,
Alprostadil,0.0,,,,,,,,,,,2.4,
Amantadine,1.0,,,,,,,,,,,6.6,
Ambroxol,1.0,,,,,,,,,,,,
Amdinocillin,0.0,,,,,,,,,,,0.37,
Amezinium,,,,,,,,,,,,4.0,
Amfenac,,-4.52,,,,,,,,,,,
Amifostine,,,,,,,,,,,,0.09,
Amikacin,0.0,,,,,,,,,,,0.16,
Amiloride,1.0,-6.251812,,,,,,,,,,,
"Aminocamptothecin, 9-",,,,,,,,,,,,2.2,
"Aminohexanoic acid, 6-",,,,,,,,,,,,0.39,
Aminolevulinic acid,,,,,,,,,,,,0.12,
Aminopyrine,,-4.389419599999999,,,,,,,,,,,
"Aminosalicylic acid, 5-",,,,,,,,,,,,0.33,
Amiodarone,1.0,,,,,,,,,,,60.0,
Amisulpride,1.0,,,,,,,,,,,,
Amitriptyline,1.0,-4.2600002,,,,,,,,,,8.7,
Amlodipine,1.0,-4.670000099999998,,,,,,,,,,17.0,
Amobarbital,1.0,,,,,,,,,,,,
Amonafide,,,,,,,,,,,,7.33,
Amoxapine,1.0,,,,,,,,,,,,
Amoxicillin,1.0,,,,,,,,,,,0.25,
Amphetamine (-d),,,,,,,,,,,,6.1,
Amphetamine sulfate,,-4.3899999,,,,,,,,,,,
Amphotericin B,,,,,,,,,,,,0.62,
Ampicillin,1.0,-6.0700002,,,,,,,,,,0.22,
Amrinone,1.0,,,,,,,,,,,1.3,
Amsacrine,,,,,,,,,,,,1.6,
Amsalog,,,,,,,,,,,,0.3,
Amygdalin,,,,,,,,,,,,0.21,
Anastrozole,1.0,,,,,,,,,,,,
Angelol-A,,-4.8123703,,,,,,,,,,,
Angelol-B,,-4.8499289,,,,,,,,,,,
Anhydrovinblastine,,,,,,,,,,,,12.0,
Anidulafungin,,,,,,,,,,,,0.57,
Antipyrine,1.0,,,,,,,,,,,0.77,
Antofloxacin,,,,,,,,,,,,2.42,
Apalcillin,,,,,,,,,,,,0.16,
"Apigenin (5,7,4'-THF)",,-4.9821801,,,,,,,,,,,
Apixaban,,,,,,,,,,,,0.3,
Aplidine,,,,,,,,,,,,13.3,
Apometzgerin (2),,-4.9499998,,,,,,,,,,,
Apomorphine,0.0,,,,,,,,,,,1.6,
Aprepitant,1.0,,,,,,,,,,,0.94,
Aprindine,1.0,,,,,,,,,,,,
Arbekacin,0.0,,,,,,,,,,,0.21,
Argatroban,,,,,,,,,,,,0.17,
Aripiprazole,,,,,,,,,,,,4.9,
Artemether,1.0,,,,,,,,,,,,
Artesunate,,-5.4000001,,,,,,,,,,15.0,
Articaine,,,,,,,,,,,,7.7,
Arzanol,,-4.71,,,,,,,,,,,
Asarone,,,,,,,,,,,,1.0,
Ascorbic acid,,,,,,,,,,,,0.35,
Asenapine,,,,,,,,,,,,23.0,
Aspoxicillin,,,,,,,,,,,,0.27,
Astemizole,0.0,-5.1500001,,,,,,,,,,,
Astilbin,,-6.820000200000001,,,,,,,,,,,
Astromicin,,,,,,,,,,,,0.23,
Atenolol,1.0,,,,,,,,,,,0.95,
Atipamizole,,,,,,,,,,,,2.7,
Atomoxetine,1.0,,,,,,,,,,,0.85,
Atorvastatin,0.0,-5.3099999,,,,,,,,,,,
Atovaquone,0.0,,,,,,,,,,,0.6,
Atracurium,,,,,,,,,,,,0.1,
Atropine,1.0,-4.7016673,,,,,,,,,,3.3,
Auranofin,0.0,,,,,,,,,,,,
Avibactam,,,,,,,,,,,,0.24,
Avosentan,,,,,,,,,,,,0.27,
Azacitidine,,,,,,,,,,,,0.47,
Azapropazone,,,,,,,,,,,,0.12,
Azathioprine,1.0,,,,,,,,,,,,
Azelastine,1.0,,,,,,,,,,,15.0,
Azidocillin,1.0,,,,,,,,,,,,
Azimilide,,,,,,,,,,,,13.0,
Azithromycin,1.0,,,,,,,,,,,33.0,
Azlocillin,0.0,,,,,,,,,,,0.26,
Azosemide,0.0,,,,,,,,,,,,
Aztreonam,0.0,,,,,,,,,,,0.18,
BB 83698,,,,,,,,,,,,1.1,
BI2536,,,,,,,,,,,,31.2,
BILN-2061,,-5.6599998,,,,,,,,,,,
BLP1654,,,,,,,,,,,,0.24,
BMS 189664,,-6.561124799999999,,,,,,,,,,,
BMS-214662,,,,,,,,,,,,0.84,
BVaraU,,-5.3989701,,,,,,,,,,,
Baclofen,1.0,,,,,,,,,,,0.65,
Bambuterol,,,,,,,,,,,,1.6,
Baohuoside I,,-5.8378239,,,,,,,,,,,
Barnidipine,0.0,,,,,,,,,,,,
Bazedoxifene,,,,,,,,,,,,15.4,
Becatecarin,,,,,,,,,,,,8.9,
Beclomethasone dipropionate,,,,,,,,,,,,0.29,
Belinostat,,,,,,,,,,,,0.8,
Benazepril,1.0,,,,,,,,,,,,
Bencyclane,1.0,,,,,,,,,,,,
Bendamustine,1.0,,,,,,,,,,,0.22,
Bendroflumethiazide,1.0,-5.8899999,,,,,,,,,,,
Benperidol,1.0,,,,,,,,,,,3.8,
Benzthiazide,0.0,,,,,,,,,,,,
Benzydamine,1.0,,,,,,,,,,,1.53,
Bepridil,1.0,,,,,,,,,,,10.1,
Berberrubine (BRB),,-4.8815303,,,,,,,,,,,
Berubicin,,,,,,,,,,,,48.0,
Beta-colubrine (Col),,-4.5717444,,,,,,,,,,,
Betamethasone,1.0,,,,,,,,,,,1.3,
Betamipron,,,,,,,,,,,,0.28,
Betaxolol,1.0,-4.3156309,,,,,,,,,,4.8,
Betaxolol ester,,-4.1300812,,,,,,,,,,,
Bevantolol,1.0,,,,,,,,,,,0.67,
Bezafibrate,1.0,,,,,,,,,,,,
Biapenem,,,,,,,,,,,,0.2,
Bicalutamide,,-4.6599998,,,,,,,,,,,
Bicyclol,,-4.7979398,,,,,,,,,,,
Bidisomide,,,,,,,,,,,,2.6,
Bifemelane,0.0,,,,,,,,,,,,
Bilirubin,,-6.1314831,,,,,,,,,,,
Bilirubin ditaurate,,-6.0594678,,,,,,,,,,,
Biliverdin,,-5.6290045,,,,,,,,,,,
Bilobalide,,,,,,,,,,,,2.5,
Bimatoprost,,,,,,,,,,,,0.67,
Binodenoson,,,,,,,,,,,,0.4,
Biolimus A9,,,,,,,,,,,,44.5,
Biotin,1.0,,,,,,,,,,,,
Biotin-Saquinavir,,-6.4094677,,,,,,,,,,,
Biperiden,1.0,,,,,,,,,,,12.0,
Biricodar,,,,,,,,,,,,1.34,
Bis(7)-tacrine (B7T),,-5.441246499999999,,,,,,,,,,,
Bisaramil,,,,,,,,,,,,9.0,
Bisoprolol,1.0,-4.7600002,,,,,,,,,,2.4,
Bivalirudin,,,,,,,,,,,,0.27,
Bizelesin,,,,,,,,,,,,0.05,
Bleomycin,,,,,,,,,,,,9.43,
Bortezomib,,,,,,,,,,,,10.0,
Bosentan,1.0,,,,,,,,,,,0.29,
Bretylium,1.0,,,,,,,,,,,,
Bromazepam,,-4.4000001,,,,,,,,,,0.85,
Bromfenac,1.0,,,,,,,,,,,0.11,
Bromocriptine,0.0,,,,,,,,,,,,
Bromopride,1.0,,,,,,,,,,,3.1,
Bromotetrandrine,,,,,,,,,,,,51.0,
Brostallicin,,,,,,,,,,,,0.36,
Brotizolam,1.0,,,,,,,,,,,0.75,
Brucine (Bru),,-4.7786422,,,,,,,,,,,
Brucine N-oxide (B-N),,-5.46,,,,,,,,,,,
Bucindolol,1.0,,,,,,,,,,,,
Budesonide,0.0,,,,,,,,,,,3.9,
Buflomedil,1.0,,,,,,,,,,,1.3,
Bufuralol,1.0,,,,,,,,,,,1.7,
Bumetanide,1.0,,,,,,,,,,,0.16,
Bunazosin,,,,,,,,,,,,0.72,
Bupivacaine,,,,,,,,,,,,0.84,
Buprenorphine,1.0,,,,,,,,,,,4.9,
Bupropion,1.0,-3.9519544,,,,,,,,,,,
Buspirone,0.0,,,,,,,,,,,,
Busulfan,1.0,,,,,,,,,,,,
Busulphan,,,,,,,,,,,,0.55,
Buthionine sulfoximine,,,,,,,,,,,,0.26,
Butorphanol,,,,,,,,,,,,12.0,
Butylparaben,,-4.4899998,,,,,,,,,,,
Byankangelicol,,-4.3000002,,,,,,,,,,,
C,,-5.1890359,,,,,,,,,,,
CA-DADLE,,-5.880000099999998,,,,,,,,,,,
CA-Leu-Enk,,-6.4699998,,,,,,,,,,,
CB 10-277,,,,,,,,,,,,0.25,
CD1,,-3.51,,,,,,,,,,,
CD21,,-4.1199999,,,,,,,,,,,
CD27,,-3.8199999,,,,,,,,,,,
CEP-18770,,,,,,,,,,,,0.87,
CF 1517 (p-Br),,-5.6954093,,,,,,,,,,,
CF 1523 (p-Cl),,-5.7328787000000005,,,,,,,,,,,
CF 1525 (p-Me),,-5.8474512,,,,,,,,,,,
CF 1526 (p-OMe),,-5.9819288,,,,,,,,,,,
CF 1572 (p-I),,-5.130000099999998,,,,,,,,,,,
CFPN-PI,,-5.1100001,,,,,,,,,,,
CG200745,,,,,,,,,,,,0.45,
CGP15720A,,,,,,,,,,,,0.35,
CGP31608,,,,,,,,,,,,0.23,
CHEMBL1000,,,42.0,,,,0.1898999999999999,,3.0,10.8,5.094339622641509,,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
CHEMBL100391,,,,,,,,,5.0,18.0,8.181818181818182,,CN(C)CC(O)COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3)n2)cc1
CHEMBL1005,,,,,,,,0.8,,,,,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1
CHEMBL1009,,,1.076,,,,,1.3,,,,,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
CHEMBL100979,,,,21.38,89.99992984102757,,,,50.12,180.432,45.0539352776668,,Cc1nc2ccccn2c1-c1ccnc(N)n1
CHEMBL101,,,,8.71,89.99982778448567,,,,,,,,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
CHEMBL1013,,,,3.0,89.99950000277776,,,,,,,,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1
CHEMBL1016,,,,3.0,89.99950000277776,,,,3.0,10.8,5.094339622641509,,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
CHEMBL1017,,,,3.98,89.99962311715612,,0.0076999999999999,20.0,3.0,10.8,5.094339622641509,,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1
CHEMBL1020,,,,8.225,89.9998154443048,,0.0028,,4.0,14.4,6.666666666666665,,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1
CHEMBL1024,,,,,,,,6.6,,,,,O=P1(NCCCl)OCCCN1CCCl
CHEMBL1027,,,,,,,0.0509999999999999,10.0,,,,,Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C
CHEMBL10271,,,0.09,,,,,,,,,,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(Br)c(=O)nc1SCc1ccc(F)cc1
CHEMBL103,,,14.925,,,,,,,,,,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
CHEMBL10316,,,,,,,,4.2,,,,,c1ccc2c(c1)OCC(C1=NCCN1)O2
CHEMBL103355,,,,,,,,,18.0,64.80000000000001,23.82352941176471,,Cc1ccc(F)c(Nc2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)c1
